"Round 1","Round 2","Round 3","Round 4","Cell type number","Final cell type","X","Y","CD31...vasculature.Cyc_19_ch_3","CD34...vasculature.Cyc_20_ch_3","Cytokeratin...epithelia.Cyc_10_ch_2","aSMA...smooth.muscle.Cyc_11_ch_2","Podoplanin...lymphatics.Cyc_19_ch_4","CD45...hematopoietic.cells.Cyc_4_ch_2","CD15...granulocytes.Cyc_14_ch_2","CD3...T.cells.Cyc_16_ch_4","CD20...B.cells.Cyc_8_ch_3","CD11c...DCs.Cyc_12_ch_3","CD163...macrophages.Cyc_17_ch_3","CD68...macrophages.Cyc_18_ch_4","CD38...multifunctional.Cyc_20_ch_4","CD56...NK.cells.Cyc_10_ch_4","CD8...cytotoxic.T.cells.Cyc_3_ch_2","CD4...T.helper.cells.Cyc_6_ch_3","CD45RO...memory.cells.Cyc_18_ch_3","FOXP3...regulatory.T.cells.Cyc_2_ch_3"
"Unknown","Unknown","Unknown","Unknown","0","Unknown","31","949","1508.165649","6860.795898","0","31.06188393","187.2953644","0.354858011","5717.143555","305.953064","0","57.71718979","216.4116516","1772.374023","479.296875","1766.873535","1605.912109","718.9121094","8171.725098","341.46698"
"Unknown","Unknown","Unknown","Unknown","0","Unknown","32","975","1093.0802","7568.564453","0","183.5786591","244.3380737","0","3894.790283","147.6425323","0","0","0","1218.840942","511.8044128","1430.531982","950.2705688","201.0072174","8761.479492","0"
"immune cells","CD15+ granulocytes","Unknown","Unknown","7","CD15+ granulocytes","38","916","0.702407837","325.5628357","0","104.1328049","59.29006958","285.6564941","71.34725189","118.335968","0","46.96576309","82.25508118","432.3792419","220.485321","1089.303223","356.4834595","179.2355194","10903.26465","277.5462646"
"immune cells","CD15+ granulocytes","Unknown","Unknown","7","CD15+ granulocytes","71","223","1.16280818","170.23349","0","2001.6521","112.5809326","32.57479477","3446.367676","162.8198547","0","21.30237389","145.5263062","64.84934998","168.8530121","672.8291016","681.2480469","237.2043304","4640.540039","142.7010803"
"immune cells","CD15+ granulocytes","Unknown","Unknown","7","CD15+ granulocytes","86","297","0","0","0.064852148","1092.476563","128.1414032","52.82045364","4379.44873","263.8171082","0","0","0","1484.941406","392.8005676","1049.431763","541.5349121","445.9538879","5677.8125","0"
"Unknown","Unknown","Unknown","Unknown","0","Unknown","99","642","84.95729065","18.06503868","0","252.990799","220.5122681","0","6454.610352","222.7254639","0","231.183197","192.1674957","1233.137817","3582.595459","1885.800293","1822.28064","100.539856","8049.72998","170.5263672"
"immune cells","CD15+ granulocytes","Unknown","Unknown","7","CD15+ granulocytes","103","658","1.312432766","0","0.457907975","2491.206055","71.92653656","56.01815796","1128.192505","284.9059753","0.000366","256.4268799","1517.491943","898.9995728","1359.774414","992.078125","524.5355225","361.7327271","4993.668945","261.4642029"
"Unknown","Unknown","Unknown","Unknown","0","Unknown","101","1085","0","0","0","0","18.23705101","12.59339046","0","0","0","0","0","94.82155609","108.4676666","638.5411377","0","0","5614.662109","0"
"Unknown","Unknown","Unknown","Unknown","0","Unknown","162","538","0","5.063631535","0","450.6157227","88.52857971","27.48752022","602.0757446","164.3755951","0","5.232696056","7.450689316","1822.275269","2348.169189","1026.495239","500.4710999","7.271749973","2584.499756","158.2199402"
"immune cells","CD68+CD163+ macrophages","Unknown","Unknown","10","CD68+CD163+ macrophages","150","834","71.42601013","1362.437012","0","0","197.6589661","1012.346069","1891.313599","1842.240356","0","0","4334.450195","1937.158936","465.5395203","671.1202393","148.4657288","2055.591064","13711.63672","193.6326599"
"aSMA+ stroma","Unknown","Unknown","Unknown","3","aSMA+ stroma","175","409","17.05813217","50.1076088","186.064682","1783.003906","199.9639893","9.328372002","171.2046051","209.3068085","0.010063163","327.0644836","420.8430176","992.3969116","564.1403198","1077.040649","132.1574707","123.5886078","4167.840332","537.7576904"
"Unknown","Unknown","Unknown","Unknown","0","Unknown","206","235","2.474432707","75.4651947","18.87517548","28.54538155","198.4237671","1.482125282","841.5217896","243.4165497","0","63.58713531","162.8643036","2580.481689","519.0175171","1393.959351","1345.669067","573.3970337","4989.980957","339.5969849"
"Unknown","Unknown","Unknown","Unknown","0","Unknown","216","353","0","0","289.9594116","60.18203735","96.01514435","1.609273672","346.4595642","240.9889221","0","120.7969055","294.4246521","2209.359375","354.0549011","2384.228271","1878.312988","293.4047852","4899.115723","662.4501953"
"immune cells","CD3+ T cells","Unknown","Unknown","6","CD3+ T cells","208","369","0","9.897045135","10.37346077","0","91.02555084","50.87847137","601.6547241","243.2460327","0","91.96361542","358.4820251","1614.086914","471.0550537","1405.174683","941.6350098","415.6651611","2766.163086","320.2059937"
"Unknown","Unknown","Unknown","Unknown","0","Unknown","205","816","0","1816.681274","0","329.1194153","208.5236816","0","0","0","0","8.084750175","0","673.6791992","922.9227905","726.5738525","19.91649628","27.42211533","6968.403809","180.9736481"
"Unknown","Unknown","Unknown","Unknown","0","Unknown","217","338","45.7245636","61.64040756","0","0","47.00141525","6.44959259","0","169.5825653","0.003604294","0","116.8757706","1011.41803","288.6336365","1263.505615","0","341.0117188","2100.030518","279.3845825"
"immune cells","CD15+ granulocytes","Unknown","Unknown","7","CD15+ granulocytes","232","356","31.46933746","146.1262817","46.84686279","6.532037258","87.61821747","49.24507141","165.1243896","222.3340912","0.002027641","483.4176636","336.3449707","2084.61377","354.7124634","1609.063354","258.1411133","277.6997681","4502.299316","650.8070679"
"immune cells","Unknown","Unknown","Unknown","5","immune cells","226","507","0","58.0777626","0.80329138","1565.744019","193.575058","67.06495667","3339.437256","138.820282","0.000479","336.1876831","1827.466309","4525.517578","266.3381958","1160.246582","646.6809082","354.7794495","6407.033691","95.04004669"
"Unknown","Unknown","Unknown","Unknown","0","Unknown","227","343","46.68600464","107.3562775","21.62044907","14.55565643","87.62297058","0","919.2183838","195.8473206","0","168.9162903","320.1335754","1632.252441","242.7531738","1801.60022","1814.085449","159.0679169","3833.651611","778.3046875"
