"Round 1","Cell type number","Final cell type","X","Y","CD68","CD163","CD14","CD11c","CD206","CD33","CD40","SMA","CD27","CD45RA","CD20","CD3","CD7","GrzB","TCF7","CD45RO","FOXP3","ICOS","CD8a","CD4","Ecad","CD303","HistoneH3","DNA1","DNA2","CD38","HLADR","MPO","CD16","CD15","Ido1","LAG3","PD1","PDGFRb","PDL1","Ki67","cleavedPARP","B2M","CarbonicAnhydrase","VISTA"
"Mural","12","Mural","10.9166666666667","0.75","2.70742214431411","0.274933297618942","3.44569733553631","1.18713102893513","0.579129181191295","3.19243895330305","2.00381113870188","2.77314178960085","1.36097426517486","0.964260801262803","0.930046640067181","0.935487528828394","1.61937779869368","1.85342767142154","0.736016962010287","2.29856756041183","0.523916742884531","1.65192898057562","0.40253384003306","1.42050985470709","2.70124471601707","1.64228590997158","3.1835718902888","3.98492085868547","4.3076917458216","0.331784460384821","4.00676829325575","0.165904550269299","0.375845990267159","0.189861307518175","0.924806197625233","0.483984070351395","0.70078686281589","2.82774744095917","1.01571907010464","0.280440755860558","0.382582670531011","2.74755765272864","2.23004529511296","3.30414021974669"
"plasma","6","plasma","66.9166666666667","0.75","2.13956548427005","0.414201135083288","2.45176857301593","1.03740795626672","0.766156053465449","3.67934883505887","1.34137736532316","0","2.44729873430916","2.25011294785072","0.490144421325941","1.91446948778719","1.78353464351458","1.38531837098134","2.35781363564191","3.32833742151459","1.09837698528021","1.29651766951219","1.17954794660904","2.2821395200155","1.45443872819497","1.64417749357053","3.05827994241734","4.7203141876597","5.29521039986095","1.15461737920566","0.745838505947515","0.165904550269306","0","0.37557014429072","1.16568243026577","0.142976294482744","1.00749534346913","1.40726262238516","0.388110562843287","0.0742842282780736","0.0468425508419365","2.38824518369724","1.12283102044215","1.50807909069745"
"Unknown","0","Unknown","125.259259259259","0.851851851851852","2.2405935382102","0.308989636210005","2.94527985854809","1.1978700983901","0.527382420264638","2.03099772424822","1.37549346757684","0","1.50210280355251","1.66237322246352","2.35925745114286","2.08944549738537","3.25208978560375","1.69646380941805","1.18849658672649","3.66423599063137","0.155352528016459","0.477142068177851","1.31945595668221","1.4980060838735","1.24013445644171","1.09561826116091","2.16089807013991","4.70984964058977","5.29537862140613","0.130531563044291","3.13194886200814","0.0740065004387203","0.50443339207204","0.23516299174553","0.652276270495544","0.933244765550782","0.228672676879602","2.08730798224696","0.224762993686063","0.357249269551843","0.00889368433158289","2.13788970771488","0.422173157641574","1.20416910554174"
"CD8","10","CD8","151","0.4375","2.5719519714594","0.44591387538723","3.03007830839244","1.11091110401265","0.51502105428408","2.60445576329218","2.25711106085775","1.57936276165881","1.12965187896943","1.17728957116904","1.49670838912338","2.06419012668918","2.46870686322372","1.36219988824531","1.48824091340755","3.80773661429401","1.03203953277736","0.89312787468412","3.43772227666706","1.61032837081635","2.42047341004014","1.04733348567733","3.2111844461489","4.46931115467491","5.13650011344557","0.145397700934129","3.31153025005812","0.124676746921443","0.229812786181114","0.652709763577442","0.604607947528088","0.546844610933773","0.964585345726772","2.41596536272539","0.775217789693488","0.63236391118287","0.032160969569939","2.65281581481103","1.20170557644632","1.12759515221115"
"CD4","11","CD4","205.026315789474","1.07894736842105","2.1964745521654","0.0700812724309608","2.18006339466678","1.71901518222558","0.525075400935579","1.81707489996927","1.74987132548552","0","2.07493490336723","2.79371886174643","3.23021448801135","2.71742103859267","3.18065717905716","1.32647466727458","2.13239957559974","4.24418563429315","0.188590540832846","1.50846208301456","2.21820990531117","3.41621411386022","1.96375012826198","1.07386452083824","3.29690563778134","4.97500250247333","5.60283983398008","0.375674462459764","3.36882100892656","0.139983397370139","0.554063934665014","0.449763560560488","0.54275450885863","0.402145561721209","1.29923551888836","1.2614835102236","0.428662699271817","0.37688182329612","0.219632979140621","2.41909657264526","0.654886337707446","1.66258493625879"
"CD4","11","CD4","382.222222222222","0.444444444444444","2.4709993112808","0.0255301574701231","2.65979181153663","0.958799113864041","0.327156962186611","0.693975718293375","2.16315493691522","0.331780552770423","1.98144347947913","3.75722098403246","3.82180581934735","2.73694926567494","2.80738062775798","1.8738583801204","1.29742468122628","4.5549707046021","0","1.8973361087339","3.35816708943514","2.69184516729643","1.8126087914482","1.05890919437212","2.80696550863107","5.13755440055484","5.68274746385098","0.766019490932404","4.1781236787998","0.220432720979808","0.238833240123266","0.496889012932085","0.547639953651289","1.22557070241355","1.3263851771061","1.50808372307786","0.644158885005448","0.299819277245123","0.685824694735006","2.88335222483157","0.710101619577511","1.33901981470249"
"plasma","6","plasma","51.8571428571429","0.928571428571429","1.66818432780979","0.211866511426404","2.39453677828969","0.740503266202533","1.02271516553361","2.20176887000873","1.51354440036296","0","2.66762280075512","3.47023479428546","0.725048350324535","0.503862698566921","0.703819522427321","1.48092512502873","2.07705282508217","2.93559869600999","0.650255484553913","1.14706887160145","0.760444676023557","1.3353839348571","1.35831550861669","2.13321726422403","3.28040955863517","4.90428504541932","5.44989686640126","2.34816586263423","0.62041622352352","0.288560276612079","0.212678760944243","0.340357512280216","1.02544541851022","0.684510761399773","0.714648887339031","1.15016984933423","0.47051610694932","0.354542376014635","1.74164076574036","2.04270075632841","1.29218116735099","0.79320630343969"
"Treg","9","Treg","313.173076923077","1.59615384615385","1.69892006595989","0.493762557825811","2.58438403672409","2.04804438912947","0.366672455782314","1.77275254522597","2.32067529919842","0.848942587964997","2.35182941683744","2.70559326509766","3.61447794322695","3.52571623002","3.94383067346795","1.44471169777694","2.18469015835707","4.85307736265274","2.19662195808095","1.77210044964901","3.45183612043997","3.63242702126036","1.43653369649942","1.15831286608689","3.27981887533732","5.09833244683463","5.63472197101005","0.836948121952198","4.3232382067087","0.124622736556514","0.5458062450103","0.517931500601706","1.19055386057215","0.480146080230984","1.37266207134194","0.869893545521454","0.757530395061818","0.837193955941837","0.144324293646532","2.79275194788666","0.950632585106931","1.56261175423583"
"CD4","11","CD4","334.860465116279","1.65116279069767","1.31601522171498","0.179574754053788","2.46697721387174","2.0109685585258","0.703591553056405","1.47635065163666","2.06632446888121","0.125678486008845","1.8745064479513","1.12918971222238","1.80260952383873","2.90827299658644","3.16476614465467","1.0363268535168","2.62089122942248","4.26730964275982","0.781872314387476","1.72370487289549","2.55171359952432","3.24885030800248","1.45656273072095","0.974540753984417","2.98238237228286","4.69523768867392","5.23736141591535","0.808394092232626","3.65992436940971","0.152123670542843","0.218029004418954","0.17949964943486","1.33934016169218","0.496148439621233","1.11786808204061","0.809626936738471","0.468296149793679","0.295079565401824","0.164398637238459","2.35577426868385","0.846451389367956","1.42209846768344"
"Unknown","0","Unknown","534.241379310345","1.17241379310345","3.26600678099252","1.25548891689569","3.15162769325446","2.82940673309953","1.72933955358149","3.6699746730329","2.23476334763121","0","1.76978314870177","1.90024146562517","2.38759880038285","1.17379476736419","0.713952547663073","1.72590946451012","1.79511607441733","3.7071288795011","0.803641622466968","1.30181119863353","1.25771317239284","1.96487203444034","2.07491857121412","1.83244975274979","3.48034681072613","4.67749028265125","5.20000649748192","0.784736211575103","5.00461835690121","2.43960251345461","1.42125177922293","6.30062232140167","1.53333170361943","1.01905715859441","0.702682809760527","1.54627398164474","3.67858068229481","0.900759907207902","0.0799903295408035","2.84579856006626","1.1151334290292","2.03641925396519"
"CD4","11","CD4","268.40350877193","2.89473684210526","1.74975721370305","0.100719678550866","2.33530268160609","1.90838826086491","0.453132883771879","1.58240896757384","2.08246261194494","0.0648127757646228","2.2140086675382","2.74892098940188","3.46742500402319","3.13680925960594","3.22172430736802","0.992665119120247","1.86097990547471","4.27154189304659","0.520846787487683","1.35835712870983","2.735733947144","3.29428386888801","1.18321492624706","0.892314727263812","2.83426309007501","4.69864254964316","5.23058893087885","0.434179101326522","4.31951648125055","0.174550875630959","0.232267998689558","0.525843139567377","0.697008317641195","0.336888442073816","1.02705659230853","0.703046081057855","0.298108960551324","1.80380193279788","0.22603994091519","2.70277984437008","0.587720439507686","1.49060465649698"
"MacCD163","13","MacCD163","561.32","1.36","4.44166301393235","4.05044309955295","4.96601530060524","2.91526324285703","3.77522542811312","4.06369888298486","2.97494307900032","0.216293176699583","1.30995896770648","1.21954875314264","1.59628282881538","2.18478492681023","2.65079305646606","2.32599544676717","1.33457928987266","4.11854770918575","1.10013232847187","1.4396490360916","3.50819579655091","3.01839667926765","1.80872062476896","1.695023274279","2.84960055844668","4.97556369631153","5.57435032996611","0.951240296376311","4.02318735384807","0.404070536797096","2.65087183794802","1.12077819747119","2.18364613047759","0.646928820378571","0.67124660039129","2.27510507307574","1.61389151330787","5.33319580835736","0.70912799871829","3.1924268478799","1.61323218117711","1.76520459541608"
"Unknown","0","Unknown","30.0185185185185","1.59259259259259","2.36990697548418","0.796795855161532","3.30421891612158","1.55326794813316","0.882043866028177","2.60947947332232","1.28059951474805","0.0517829310039721","1.18061473399003","1.55425004164174","1.00907426185632","2.64499263579194","1.80896593971029","1.77622664821863","1.86850784663903","3.2736246322851","0.786240862316093","1.34084342837191","2.92494611724571","2.78224392876383","2.31778815030112","1.88178296361363","3.18787336847837","4.73879404258737","5.30819870145237","0.983825665117544","2.23417607058137","0.838108209854435","0.593114258754384","0.718137413525833","1.17128928329476","0.631740713021872","0.940827459824451","2.12795138029632","0.649399525907405","0.294309892249007","0.356822054213184","2.13011681351963","1.37018166402406","2.5438259459558"
"Unknown","0","Unknown","107.758620689655","1.6551724137931","2.22382465013747","0.0990172036663741","2.6416202550065","0.762880486035375","4.51265003898518","2.53344064871381","0.514602381526718","0.576289414957935","0.256050017194818","0.434523743038542","0.275963054187977","0.415636571588501","0.997740158269546","1.01494870367348","0.716994625586274","1.9494262164337","0.420404798572308","0.590690210861584","0.172852402237375","1.10329152351014","1.50664792916997","1.05955486810152","2.49495820786115","4.83725449360836","5.32522792598479","0.174315242839349","0.320384081638171","0.288610092585153","0.267443804131417","0.189932996971918","0.711545233642709","0.0774934965483667","0.712491941224451","2.01595963760652","0.208639667731254","0.0412786322875472","0.373594461918766","1.74819208662953","0.936617062672114","1.99644086908293"
"CD8","10","CD8","216.30612244898","1.95918367346939","1.91834874069977","0.311351414066076","2.45467877396453","0.394251179864159","0.241325407049034","1.82567364946121","1.50250431940989","0.31560553248798","2.48404464997403","2.06845814075266","2.78779472492936","3.52025285373858","4.04116090476176","2.78216908184369","1.66374544896418","4.85408924569719","0.827128790524283","1.62334489272082","3.82188286850985","3.49690562790404","1.29155621795362","1.39264726591912","3.05415720177101","4.69387804387929","5.25285857145277","0.388737799872685","2.36690327861037","0.101864560527463","0.176228655018294","0.349108078975081","1.01277188986347","1.33582904826673","1.28507504441053","0.940801525388024","0.520642134023477","0.468775629897743","0.145229553711443","2.67751573494435","0.917362532770823","1.39050857831053"
"CD8","10","CD8","501.905263157895","2.68421052631579","3.7828328365024","2.07692793638115","3.71960298658508","3.00566964565707","3.26282853789473","3.2065275552709","2.20213598696543","0.193618985184905","1.54016644873208","0.741693509209657","0.743382173757559","2.66315536246796","2.38838038454136","2.05002273167788","1.28845864122022","4.09972507740227","1.67136122303055","1.80367598179463","3.25735052802325","2.86050181930441","1.73955633436055","1.2483290068132","3.38584725606758","4.97126301688102","5.57238661616489","0.50445392387871","4.6890264630623","2.42946630807","1.29432948654349","4.62286984577915","1.23694124311049","0.793092430462963","1.08415771893801","1.33158101589232","1.99490447386777","3.80640905987902","0.285808489650707","2.6212101750112","0.87425845458878","2.05111094147659"
