"Round 1","Cell type number","Final cell type","X","Y","CD68","CD163","CD14","CD11c","CD206","CD33","CD40","SMA","CD27","CD45RA","CD20","CD3","CD7","GrzB","TCF7","CD45RO","FOXP3","ICOS","CD8a","CD4","Ecad","CD303","HistoneH3","DNA1","DNA2","CD38","HLADR","MPO","CD16","CD15","Ido1","LAG3","PD1","PDGFRb","PDL1","Ki67","cleavedPARP","B2M","CarbonicAnhydrase","VISTA"
"Unknown","0","Unknown","129.489795918367","1.16326530612245","2.19856910261745","0.306662918389448","4.73527898253149","1.840232268669","0.727450092750573","2.01214793100864","0.491515563492943","0.232050219913257","1.33680429221687","0.738890883414997","1.08332113057587","0.998686465102777","2.63720323009862","2.03424343058424","2.18001705232833","3.49298641194561","0.966786359151794","1.15023600088569","0.935941158159344","1.69272976737572","5.03224513581945","1.81207249476083","4.83937615670246","5.29026049826955","5.80868656548571","0.45583725389295","2.15385452647332","0.734778269278553","0.971225214392794","4.24394150447164","1.50662186200331","0.722912144823681","1.03498648591707","0.509995954950474","2.20332402775797","0.63759900677898","0.437794866197913","3.21705425421628","2.10989909286435","1.65827419056778"
"Tumor","8","Tumor","384.405405405405","1.37837837837838","2.72352795998434","0.649141284347794","4.9243959062523","1.02002222676758","0.931338012703875","2.11895925700896","0.22090105055547","0.544085119138494","1.58587519196635","0.375529604047596","1.00655591381456","1.3754893962666","3.02270264864018","1.37671782625408","2.44143533222","2.84402755370357","0.828542870667152","0.83712257179379","0.641991125969906","2.19879291854325","5.47723678657728","0.204161533217035","4.75637990113891","5.15024671207296","5.72386500174449","0.258049514303787","1.47375413770812","0.530641664742886","0.997537501436076","6.07493691187182","1.27494262595636","0.922541767862109","0.629903849270884","0.43603506630251","2.6851602297024","1.94284159928358","0.478091463375923","2.42330613848192","2.32435306306895","1.20967939432428"
"Tumor","8","Tumor","403.979797979798","1.22222222222222","2.17532904651948","0.48777729417924","5.15807196216495","1.07968967584906","0.997861162265229","2.49057929421373","0.239051721207481","1.16344433154856","1.5110870562714","0.590162107964784","1.42197622152838","1.3522255218554","2.99910772041943","2.01745581622462","2.17142502953479","3.38642568459795","1.04097370050627","1.10733776365984","1.00721966349751","1.90496595233147","5.39869613798031","1.48333636801534","4.92552621856606","5.21856294427292","5.76034134286569","0.341211813844685","1.95509208744866","0.42348017050456","1.03240958823163","5.59719115231671","1.6156188809498","0.839473042459833","0.90238081380443","1.19151426189423","3.00101927803541","0.745543246201143","0.514916388607525","2.92952003283069","2.32906790640997","1.50752815567756"
"Tumor","8","Tumor","74.703125","2.125","2.91372171942548","1.23294974044606","4.73596956247558","2.60955767640849","1.17548501101431","2.55288617589324","0.784226617267557","0.811466412844742","1.54828225581043","0.338441389804836","0.899687433480792","1.21748335263203","2.5961683335044","2.08550491042087","2.03267125683713","3.13729224951761","0.720455683988532","0.936158080672327","0.806588756133149","2.05203200107381","4.75483838492563","1.31470278554792","4.60834125293319","4.79115134228348","5.33232921764676","0.308182166838837","2.56785207688141","0.498542800136607","1.38380655929011","5.51442001580335","2.02384801027001","0.754278747641486","0.91855190991041","0.59471850986824","2.19738463054728","0.339913230403339","0.34315305777591","2.86009713149917","2.29921468615843","1.43124036676694"
"CD8","10","CD8","283.186046511628","1.83720930232558","1.29868187246445","0.48855884870583","3.6980763366114","2.6314097954381","0.321145700604371","1.09207209934596","0.273428262880738","2.53150041435112","1.13432238659508","0.64500217729472","0.446625519685413","2.57128715870852","1.88277300928992","1.30832914308951","1.34237209132856","3.76932002139965","0.389286793824148","0.575081562033011","3.14407321994549","2.47254803153216","3.83610442947845","1.41078864314052","4.76433072700196","5.10074505113632","5.64865123203032","0.262243333551475","2.35550893498438","0.295197108119994","0.726460684575761","2.85860316387476","1.09099801311429","0.561448210283688","0.570280987783211","1.78897653482969","0.777864522582297","0.531583461937424","0.0266984325173909","2.54379789782537","1.23511236567106","1.73625337359535"
"Unknown","0","Unknown","146.521008403361","2.47058823529412","1.62798955285211","0.317129498044199","4.9644346293292","1.52455739077963","0.873399914422744","1.77460791073511","0.438383306411731","1.28923188220187","1.51325946756416","0.488615537727617","1.18624632950488","1.39534516024257","2.92972224423103","1.98074626454186","2.05924165643625","3.06953467653775","0.984428336195705","1.13532364103135","0.885513194981356","1.71600995563546","5.2472468603996","1.58176903264081","4.41562594539693","5.04557333292394","5.62388374245949","0.334532549523489","2.11619072347808","0.417303618108416","0.595711836207226","4.02576623154257","1.70181261404633","0.517737797820482","0.650317400654069","0.915765524037862","2.14146990832537","0.518654470473289","0.359671912546705","3.17029977727927","2.10419657179519","1.58559156947909"
"Unknown","0","Unknown","26.275","3.55","2.74564254195047","1.78695616147222","3.08645556651075","3.39889468157638","1.77296327143531","1.90397510303073","0.766682060464387","0.477944292410376","0.681134779674826","0.900275289440844","0.696564651310545","0.67196552065535","1.1598619757069","1.14386798877974","1.12620542159188","2.34589293019163","0.447217616725355","0.592835171831516","0.573978981509934","2.07097265935332","0.816734952696912","1.24154467486591","2.95448432313221","2.94851171215475","3.44932573242406","0.243701657217237","3.47585544587616","0.657676565105432","1.91958875993313","4.6587475833168","2.04052974749792","0.34950855983647","0.324215406297515","0.942404902767936","3.24597849147596","0.113933414439134","0.38555842403934","2.51412572346424","1.80823688801713","1.19460680318367"
"Tumor","8","Tumor","366.423728813559","3.22033898305085","1.69772877143935","0.26321440253285","3.54993942204211","0.833742468160309","0.478898322528172","1.68388753018341","0.160404973907267","0.502203106272721","0.885427323445733","0.178515450964823","1.06227922863705","0.957113334132476","1.39090750168666","1.31107113256724","1.98969894280718","3.5762018981996","0.522794449046277","0.5705378290927","0.503425124039459","2.68587797203875","4.5769992526821","1.22734775486046","4.75440228776492","5.69804260797908","6.28034796398857","0.31560871543596","1.00075258711123","0.40428822469266","0.464988848165422","4.52822911998523","0.852167470216437","0.378880988692963","0.586544847216782","0.757353284224711","0.741176459639869","4.98930199916001","0.264873048250771","2.41739010629264","2.16181350424035","0.683061520906879"
"Unknown","0","Unknown","4.26582278481013","4.20253164556962","2.80074092248864","1.79888055991996","2.86679884459307","4.16304108486932","2.02397344156003","2.37960250692144","1.50401726434116","0.0375028956664041","0.59842274763334","0.169326199001002","0.22861618042876","0.398018436142151","0.702608602173392","1.16308627040815","0.798708591063944","2.40649010502186","0.245958442450446","0.181856058133665","0.217284478998784","1.74907477727153","1.20502051483522","0.648841005053887","3.21018094154276","2.70108563874653","3.31329378659042","0.115995385206818","3.450466175014","0.301978242068937","1.64766007908279","4.53271782950506","1.18094827260315","0.211627872609088","0.303162856972867","0.43427206349475","1.14678822898235","0.0264254523292487","0.145929090644803","2.85269250378184","0.895174397727918","0.812812674137302"
"Tumor","8","Tumor","229.730434782609","5.50434782608696","1.66540000953131","0.160756085955658","3.71004628769347","0.594936604187066","0.590297167890208","1.44675647982933","0.225899998795419","0.625308128078095","1.04152185544335","0.500534477692006","0.97249793896846","0.889925489952533","1.65561446288304","1.50115884621618","1.66571985404856","3.26780506451875","0.48947252591826","0.779256309823746","0.676291824023643","1.21965817217355","5.02854560124962","0.988067217451197","4.35792733406048","4.81547825289144","5.34870594634571","0.272711946762111","0.989600632822524","0.378394024359686","0.42616112519747","2.65242467037935","1.29446242666635","0.434742291825073","0.594715464932364","0.759982045218186","0.933519672071064","2.08275457057264","0.282329508130068","2.76360362510637","2.20547930188992","1.21067172454917"
"CD8","10","CD8","292.50406504065","5.95121951219512","1.15584421567099","0.464856866331685","2.90199659909437","0.635116847065259","0.339179741250186","1.37437889968534","0.234106243195477","1.4456203750429","0.92148327684043","0.292187780313588","0.313385049067957","2.66781448717211","2.01244909083348","0.778249008107876","1.00429429470493","3.37674108927696","0.306027255790032","0.510642715745789","2.95988151333041","2.50049420853551","2.74945786591533","0.728449318110392","4.4192245761022","4.87267324625546","5.44434417973532","0.179041629150815","0.588732288458656","0.195766188356023","0.284446455308626","2.25736737592302","0.583257363820528","0.174654107732672","0.368073437167649","1.7233035733484","0.207431703345194","0.1766581425516","0.0110050976459568","1.84293105159404","0.71064914038342","1.39910729539448"
"Mural","12","Mural","159.642857142857","6.92857142857143","1.22599905016337","2.54803225750612","3.42710335897582","2.7945128650391","1.05963670456447","1.01501207026144","1.17225421731313","2.30023881120102","0.490737962572654","0.18241787937153","0.390959653523746","2.13421392741793","0.986611256073953","0.748499245645914","0.658188363071199","3.36439448210628","0.51184269626854","0.273725522402986","0.279114781929506","2.94840481737555","2.2689365896612","0.714356336787536","3.41368205078221","3.88398787934921","4.43539979718317","0.155015052899165","1.84752791866001","0.305234161681158","1.24551093919577","1.97592697946589","0.541400565941116","0.226164505158301","0.302589158926648","1.88663068700313","0.519526152328258","0.017687684529855","0.153866321687814","1.95093402066261","0.546848100017576","1.52111523588845"
"Tumor","8","Tumor","201.932038834951","6.66990291262136","1.79998599250022","0.80940737118987","4.01690282026897","0.880837634542949","0.987278133473553","1.58250233047881","0.17552262407797","0.9067170005168","0.927480243903744","0.476562288236788","1.09382318834765","1.14147178586215","1.9121058302895","1.51500955277772","1.36011851820648","2.83276893346908","0.76638461077405","0.708012779911498","0.608994832254369","1.87235774705861","4.70951396032843","0.591285265418842","4.04835398886542","4.52831589749204","5.14595804695505","0.189046457489355","1.56872376574617","0.504960305102533","0.724330778046823","2.88361380105811","1.22884678688284","0.307583599425267","0.813228237129203","0.342116779475182","1.44272728465067","2.86415570565893","0.26402830314355","2.48601020626807","1.66769325343047","1.12041042048487"
"Tumor","8","Tumor","422.609243697479","9.15546218487395","1.78293221349881","0.178746260752395","3.75401789297987","0.457927214223342","0.342042742451358","1.55676915250133","0.0958853573678157","0.529451274955712","0.7893533951516","0.499362544269337","0.83817113416661","0.732246087991451","1.18589981090746","1.25131049191066","1.84255613539442","3.20711229340039","0.628004090525025","0.534940326623416","0.364808627432124","1.04579808997055","3.94008479833365","1.11048717348409","4.43367089098397","5.09495523427875","5.64585251203658","0.16485718339659","0.91915634513833","0.381849355054402","0.454903341531628","4.30115687950239","0.995865012737246","0.34959826729656","0.495803441460239","0.463607487269169","1.28684990739609","0.337093132687777","0.192702752595707","2.13580903657336","1.97477659800272","0.507123627906614"
"Tumor","8","Tumor","258.133333333333","9.83333333333333","0.754767557046132","0.126248211687778","3.45278284978262","0.406541753924087","0.574312088192115","0.845631555587217","0.203025148207969","0.805380096398062","0.612372218333801","0.588987347338595","0.98033546540825","0.575268076143151","1.29676857539581","1.37920518994861","2.24078749225226","3.56821895172065","0.627892069976837","0.733838060383929","0.514784352560788","1.02179875850232","4.03572604377135","1.22083897904023","4.58072508586235","5.63825276953085","6.22644842162177","0.294781495717487","1.20195944947628","0.454193772237647","0.376548471006193","2.58680144741715","1.1497443761862","0.18166805048706","0.568677224606567","0.54958049220709","0.652303817570175","2.55550349426734","0.292650631300352","1.81577036044456","1.51983082131987","0.97496905928906"
"Tumor","8","Tumor","265.55","9.4","1.1134180786202","0.18666906700428","4.04038458114098","0.811628525575312","0.411456557935461","0.972368584166263","0.215125207145261","0.516579568811977","0.801420831528064","0.318802238313272","1.0357045411468","0.737651469853238","1.86932909998581","1.54754730921834","2.26589480694878","3.45722694647658","0.313679358969423","0.81665159379528","0.49687722550777","1.0558703806267","4.13142416082982","0.793275905152207","4.54874594040115","5.33871685769566","5.91402424191935","0.221738330500456","1.18927432798144","0.335906710153844","0.535531464160806","2.39541385973622","1.27945824177278","0.313756268073934","0.751197554021523","0.271200483522495","1.33453923957841","1.54602897420965","0.279587736853007","1.9528567527693","1.63379079120842","0.989695306505626"
"Tumor","8","Tumor","82.4565217391304","9.81304347826087","2.22912482073703","0.478563326128111","4.64682506810649","1.66750753404596","0.70240202751122","1.97226340744979","0.489986792825907","0.150582076407647","1.20162547584714","0.176586521301119","1.15073088199074","1.03822574934538","2.73431722169802","1.85525949389198","2.01597332405598","2.68761272773892","0.94206205110671","0.913445601954101","0.759659205224604","1.50402295987215","4.80062246465868","1.3440330177458","4.19735188109195","4.46138090530283","5.00805417933723","0.294166516514408","1.949237154647","0.383172371189417","0.807422854498396","5.2612341842762","1.58459781784453","0.587656119615126","0.819825226891958","0.324627570790716","1.97547319023082","0.346559739183413","0.407654752246582","2.58970141264578","1.8863289229192","1.30229785663368"
"Mural","12","Mural","147.666666666667","10.1333333333333","1.25903058454775","2.70962645185522","2.98160246530997","2.44557966904363","1.20544155398823","0.920952170553379","0.85113493591912","3.11372082408036","0.255783872073372","0.529771320070253","0.149857475668041","1.87422308589863","0.790575152220638","0.916235629467714","0.491106198901868","3.2674843402804","0","0.335129112508592","0.243956792224569","2.56662563332064","1.87950622214496","0.310002121475878","3.82446689111591","4.21696697850506","4.8148046965644","0.103875431630346","1.79326758304254","0.180810012084458","1.0582370991409","2.47781645755025","0.49054879400619","0.1772786067229","0.245646550497107","1.49868611973439","0.396362133415331","0.172834137587929","0.0567319964247771","1.86249048684647","0.613430987738528","0.926984616935623"
"Tumor","8","Tumor","243.337662337662","9.98701298701299","1.08257340289753","0.156379885063178","4.53350023211646","0.733354035192801","0.563401446619411","1.32737027265063","0.198112026637477","0","1.1899048453665","0.346316754330064","0.769442341827302","0.98427214977245","2.17102345240952","1.67512355169894","1.59861267858108","2.43149689557672","0.529341463648264","0.990092681614815","0.612333800968588","1.24391890164784","4.31487943958619","1.40950393135406","3.97130801433865","4.55384971894933","5.11811164978995","0.274346702037984","1.55820406563327","0.296242967005616","0.591072718121444","2.36802004832772","1.4201471813258","0.267225430466709","0.628090263703549","0.273770920442415","1.65451172534996","3.34542595217277","0.278509200263787","2.3544801371683","1.64650209818721","1.12219509268902"
"Tumor","8","Tumor","442.38578680203","9.87817258883249","1.65557417794278","0.194749083693175","4.34042804619665","0.887413468767795","0.587938938261952","1.74593488749983","0.212186140683902","0.38022777119138","1.19886586101264","0.506642571534912","0.886269188964654","0.986934847262304","1.95529744064118","1.36416081188802","1.97300768772885","3.47959573762056","0.636582463859249","0.672921404967141","0.600977904966793","1.15850347292146","4.79122724920687","1.17590540658555","4.72069920441424","5.34365131689451","5.88375707113632","0.317587171063478","1.25295893943958","0.468505478388845","0.62299912068823","4.88375294419995","1.22459396410193","0.489791108651334","0.518005144055216","0.501939279356661","1.86922401113556","0.556615528058131","0.423412420099476","2.28013728371658","1.91155801462315","0.827877545966338"
