"Round 1","Cell type number","Final cell type","X","Y","CD68","CD163","CD14","CD11c","CD206","CD33","CD40","SMA","CD27","CD45RA","CD20","CD3","CD7","GrzB","TCF7","CD45RO","FOXP3","ICOS","CD8a","CD4","Ecad","CD303","HistoneH3","DNA1","DNA2","CD38","HLADR","MPO","CD16","CD15","Ido1","LAG3","PD1","PDGFRb","PDL1","Ki67","cleavedPARP","B2M","CarbonicAnhydrase","VISTA"
"Tumor","8","Tumor","37.8461538461538","0.692307692307692","0.606860173067639","0.147497128253842","2.28058654421938","1.06044695731823","0.358569908107711","2.47917766712612","0.0506273815995144","0","1.1167313714019","1.03678505136526","1.05106974183919","1.10232338640574","0.987071824759711","2.04779708437888","1.53888465665732","2.79667274780276","0.73841794478257","0.755888836070986","0.627862268846132","1.96438382429326","5.25134971803527","0.696777436436703","2.58218431864133","5.04925043178255","5.53591010002561","0.94041302440917","1.13602524247742","0.410078137446454","0.604744955907905","2.77071022016587","1.68980824844638","0.204855521183454","0.870116335960834","0.27451231241364","0.341032564646034","2.50174253256698","0.0121764225701414","2.65409432670958","1.82671994652022","0.314199363658313"
"Tumor","8","Tumor","62.2222222222222","0.722222222222222","2.97111384447349","0.396925427521868","2.89419728271145","2.99113262670451","0.895901756047006","2.72596136318778","0.174315044498349","0.0280208534673216","1.47176222973653","0.530886230053405","0.305485682160663","2.48251765935948","1.80041764812156","0.221742654968236","0.978906142351891","3.26498668613667","0.521874064609279","0.379670645966907","2.57636307748979","2.64502316069001","2.76839980805835","0.562955623208662","3.754865292889","5.07042290289856","5.63086474244877","0","4.15912953593201","0.250037693668768","2.24347437553469","1.5983662047045","0.719346132721293","0.0882538852557399","0.202952561119399","0.397327182180045","0.354316161405913","0.773701549574631","0","2.31880067800414","1.12239843382334","3.01411553593395"
"Tumor","8","Tumor","306.380952380952","0.857142857142857","0.838581688741253","0.173087797452206","2.41117433001717","0.673841530341485","0.740271546587905","2.00970752983475","0.334115257318194","0","1.29044212941894","0.520735465482466","0.845114117650583","0.916756476751448","0.751588993921621","1.7681718788339","1.55098174283727","3.53917828298255","0.563995023798731","0.901113902542498","0.778516192601944","1.85282064233016","4.61137707618655","1.13700423973011","4.16127479381691","5.21384098672862","5.76286947554886","0.448904067834717","0.811769151603142","0.380030626019062","0.282610329836328","2.43725798635365","1.90496186615314","0.428295613438911","0.838228477285657","0.334541070868979","0.496738314561315","1.56132292714243","0.027648641522904","2.12772233208895","1.52143328558095","0.628198434078058"
"CD4","11","CD4","398.2","0.4","1.7695298386612","0.436422507038657","4.28187156078106","0.974645023517524","0.438490834120989","2.87050537447381","1.24942012105751","0.640673577456946","1.82045024113436","1.62452286427765","0.914081879607918","2.94380051160179","2.97455384342221","1.93435968063597","2.00423098200699","2.86812934838617","0.839165602074106","0.569239455558525","3.87051179225603","1.3140656839471","1.68854282035319","1.33925335339","4.07760716695563","5.77947938250682","6.38561965787537","0.578045511948987","2.41925805754279","0.504032012952572","0.494202017346118","0.216953114020632","1.09522044120995","0.259994620048183","0.763823620867756","3.47276693126317","0.262665182237329","0.327054425087374","0.310134897311065","2.27189546009569","2.09974627761109","1.24942958697005"
"Unknown","0","Unknown","472.5","0.428571428571429","1.45445406873544","1.88502843422412","4.05943269797542","2.3442669618577","1.585663949155","2.3628849573072","0.963893021391649","0.322482018574182","0.54172791303321","0.362493368821091","0.279471859968978","0.751725193929491","1.32171429495025","1.33204203273787","0.433034650270357","2.31453056356994","0.46753681410277","0.804903598846659","1.20670598193024","2.33122264847056","0.340836586903222","1.35573097997102","2.4628537543705","4.51724295234661","5.05745715926607","0.538984163195024","3.79814036960357","0.443483261383335","1.96958346093144","0","1.07730126405965","0.422468859171796","0.0448398776153416","2.8824960022724","0.513356368207454","0.248623051243837","0.0667200295209175","2.12858512791474","1.43420799587475","0.961008279118477"
"Unknown","0","Unknown","520.157894736842","0.631578947368421","2.00371483060511","3.06982685763153","4.10931579912444","0.450429714882262","3.46988610576962","1.09293718039196","0.772042166295041","0","0.795181737350763","0.673486721074247","0.544649870829123","2.61479162644619","0.349135262504715","0.37839087496346","0.386860028821117","3.85044190291839","0.100176113748319","0.130209225023386","2.77675270064781","1.98997276264562","0.872100258345524","0.913895338833834","4.27181216564397","4.71795358392847","5.2350011629409","0.0537217962799304","3.11436240323048","0.180854923311637","1.09978831706453","0.431279401186894","0.614102405215916","0.281687609612863","0.351162130106467","0.100872183825448","0.475037584147744","0.301598322887684","0.155220727523065","2.60599534295056","0.921095390326326","0.866570460239157"
"Tumor","8","Tumor","12.1428571428571","1.64285714285714","0.819406485986474","0.136431877744466","2.24230855728011","0.781789123648689","0.632874876913292","2.11986321140263","0.207123957637332","0","0.788253854427295","0.748763753828394","0.659060148821745","1.20408381110377","1.00907009980299","1.65534357808527","2.28813265010868","3.15723527280515","0.968876353691656","1.02981287925248","0.603496607775572","1.69453603069435","4.04722455306771","1.22325017385321","3.1611522028626","5.21459595130402","5.76363655114905","0.770479257964951","1.38227710349211","0.315129557507378","0.421881827627186","3.34667930338349","1.59531483688018","0.498397437241167","0.653915844254648","0.408496644599015","0.215573850291406","0.707993991004559","0.278811988361352","1.36395072616563","1.68617209551448","0.328880096324123"
"Tumor","8","Tumor","130.196078431373","1.6078431372549","0.969981182821203","0.101027976017936","2.11340227666443","0.454333500815227","0.337236848018061","2.44211533819564","0.132779210508771","0","1.0061828662675","0.486032988368249","0.604388887554751","0.852598781064395","0.790644864103457","1.52891811970254","1.26055239842195","2.7410667386624","0.460937412455149","0.586554098067066","0.567769244903139","1.53654188237881","4.11694980614922","1.21773548115087","3.01598008537645","4.85097075194479","5.3989608687407","0.344206184669145","0.990932605175609","0.290111212851219","0.439676928462452","0.965899942855434","1.02282801555268","0.277865145935377","0.478409484487937","0.213773033731509","0.30417472047817","1.61679604672535","0.164926996797874","1.93293476920442","1.48801398009531","0.416594191886853"
"Tumor","8","Tumor","354.404255319149","1.91489361702128","0.446628176319434","0.0398115272926668","1.9301710038556","0.488348199610669","0.385022631491878","1.94727306037269","0.339160037624535","0.526108992162276","0.906458857980243","0.432353038502978","0.423289686600383","1.73610828966058","0.520371544716304","0.972071506997588","1.05216734919624","2.69579939691231","0.603929881580189","0.634825121350927","2.17026004547931","1.90328930007963","4.14293952553222","1.02845095187874","3.7459072383937","4.44594242459383","4.95484123750114","0.436556520854033","0.59826846704686","0.452590830681635","0.233522751675887","4.08363383022439","0.870722576589196","0.222878782013132","0.39175790602455","0.969893970326666","0.487533210170429","0.297956116546661","0.0578388678119155","1.65953039098076","0.730887564090272","0.224651736536166"
"Tumor","8","Tumor","246.357142857143","2.29761904761905","0.828179465380192","0.191451393279727","2.21708991839169","0.609774758601462","0.522495421359266","1.77010924858948","0.237580118039397","0.681716851374061","0.907126619401635","0.58998162104326","0.786573969127619","0.849540647971841","0.720753074706452","1.66529557899265","1.68325716623355","3.6706508409545","0.659332893408369","0.791886429897371","0.573572160408052","1.78942738992257","4.25742397793044","1.44730692147622","3.91889586807241","4.91887588162538","5.45039550825669","0.404324122999461","0.907766799135764","0.282491646415401","0.621890088024629","1.54793578168132","1.11036954203527","0.339458351858687","0.699406907913408","0.52729177659201","0.336350837976631","1.52230873714321","0.346936739771743","1.72306536451843","1.56886630086138","0.45236077034892"
"Tumor","8","Tumor","318.011494252874","3.31034482758621","1.08388535656424","0.204372365495899","2.13026184821367","0.602514536623815","0.455012770907705","2.1669499105803","0.289092495980503","0.0352098324067404","1.47148795540386","0.590179274245794","1.14742219955577","1.09984221384923","0.831072781773832","1.47462170726448","1.51624398834267","3.46736209960682","0.726281650347129","0.733061937273732","0.881038631641384","1.75645537226743","4.16338841325582","1.54869461940711","4.0874755365011","5.15430374489683","5.71163342621259","0.466279276441305","1.26613040656326","0.377870120670725","0.518610059889951","3.73987261077635","1.51298466371115","0.448991104757733","0.760094512030235","0.79437813733782","0.435701742435479","1.29751634650114","0.418949992534919","2.12997894286306","1.69339055099209","0.667689855052487"
