"Round 1","Cell type number","Final cell type","X","Y","CD68","CD163","CD14","CD11c","CD206","CD33","CD40","SMA","CD27","CD45RA","CD20","CD3","CD7","GrzB","TCF7","CD45RO","FOXP3","ICOS","CD8a","CD4","Ecad","CD303","HistoneH3","DNA1","DNA2","CD38","HLADR","MPO","CD16","CD15","Ido1","LAG3","PD1","PDGFRb","PDL1","Ki67","cleavedPARP","B2M","CarbonicAnhydrase","VISTA"
"Unknown","0","Unknown","550.333333333333","0.866666666666667","2.71040363128999","0.642063286297396","2.27920144349927","1.20204642909487","0.36155797248425","2.59441513727326","0.246467041617969","0","0","1.30327439327622","0.530181355903546","0.449134184674979","0.410529173463257","0.577302022368706","1.74873654721584","4.12819438636547","0.35729858803964","0.0246974906342366","0.441775628899956","0.854973672367766","0.992967693272099","1.41795956719156","3.66531750855228","5.33901596990742","5.82594715926065","0.30075389949416","2.08443093812134","3.32035886023795","0.392864430571845","6.99737661676205","0.576983871317092","0.922498397336937","0.0942943703678289","2.28672514491462","1.23962685282111","1.2377396529237","0.0438562246602068","1.96012811014464","0.482819370785617","1.79466914367612"
"Mural","12","Mural","509.5","0.8","1.71578985335537","0.19651120982987","1.99963731595871","0.188760371100676","0.196493456516692","2.38491800557158","0.0628887857338284","1.40370235738252","0.477145245700202","0.547579508808443","0.559685134521427","0.673209594306354","0.520375334939537","1.76207868162883","1.36431591186553","2.68652175846798","0.583799107026019","0.588964394998002","0.290779340262795","0.950214333262417","2.32709894453199","1.19027166904644","2.60336319072519","4.06957204537758","4.59593559512663","0.166142672812794","0.575686261321247","0.317972532234419","0.29342523729353","0","0.345337705009561","0.0942356434550137","0","3.58097668339452","0.327127597082394","1.65752160120855","0.162048527163961","2.02969679077511","1.19902896133666","0.137307647178732"
"Treg","9","Treg","421.441860465116","1.72093023255814","3.6089956625548","3.23712549846852","4.03734871991627","1.41429729758751","2.39597801930006","2.35024609538964","1.62049794399017","0.0344986398826199","1.21517611220367","0.8146337225448","0.711963574428857","2.03520883285827","2.33710840794128","1.65628398413806","3.37487464655","3.86637158762257","2.08461361838138","1.73404570472648","0.980221592380924","3.17769935838776","1.16188381083864","1.56881461602702","3.465438553424","4.55261750040396","5.12841324584998","0.781463092009038","4.41195763039663","0.689250570695393","3.06414905576207","1.81540129105126","0.974943936462279","0.1526910850539","0.488123411933627","2.20084579589265","1.09048707133985","3.50437197574752","0.0695827873215088","3.16608966643297","1.33937226594021","0.888628023275187"
"Unknown","0","Unknown","517.461538461538","1.61538461538462","0.88974352312177","0.16066057115513","1.80975243995519","0.0740405336165176","0.161332560047591","1.62169542783037","0","0.479111283805159","0.603806926417099","0.437349264692278","0.18920472469353","1.73261608069049","2.38916364395988","1.03602391216875","1.71721966885908","3.3210897889917","2.02691934348963","1.76502674974393","0.117275707524937","2.13494369453094","0.824278279710808","0.899580137793132","3.48012581534491","3.85788256391923","4.45557675181222","0.142783703175734","2.34484558813907","0.320574276135402","0.135895631200808","0.131069233229561","0.271719614347784","0.0361839182958104","0.32267258325355","3.04758641437574","0.0635100990775837","0.167997925001526","0.0600190218866491","1.62735590978939","0.528892804916863","0.10715518424322"
"CD8","10","CD8","182.377551020408","1.97959183673469","2.07855605419783","0.462030330223486","2.46557518196785","0.700495563175075","0.584675059537602","1.45481474171509","0.147903573472052","0","1.18915658277604","0.691410160361081","0.584202077951525","2.08071058756668","2.99851885208835","2.83024247476442","1.74022456505065","3.75624098156266","0.65606030166017","0.590539429463953","3.58644022756085","1.22472205544735","4.72576123001063","0.864817287897668","3.51200328047912","5.38595862292268","5.94617759472948","0.313685895809742","2.60074935727582","0.501380685087704","0.810588792861018","4.83072074783811","0.902349635460791","1.06707713148706","0.807116042165894","1.7176014403189","1.09861170763139","1.15742020364176","0.0906591712931923","3.25938231488706","2.21557131502072","0.646798345459996"
"Unknown","0","Unknown","526.621621621622","2.02702702702703","1.21401090661291","0.105395812906396","1.8556746580242","0.210058016742896","0.137723606098429","2.08118496509354","0.132485907261029","0.905899096535897","0.634032491933717","0.434452968505726","0.358717314908301","0.592654980863382","0.427554767983297","0.66524492755165","2.91535345348595","3.19711760151624","0.493345157169568","0.183480871394425","0.336501066377909","0.747813865784474","1.69697755127912","0.858001617675058","3.22630966921344","4.83468828384743","5.32571161174248","0.034032762125675","0.957982229298456","0.138827359889242","0.228805520723887","0.273174675455559","0.652589984351206","0.151716505890144","0.315674544953785","2.69389261673947","0.146483947798252","0.127637442241685","0.0324708921360129","0.58662193035456","0.959671858047843","0.313094887178832"
"Tumor","8","Tumor","267.298245614035","2.01754385964912","1.14599266372045","0.295246700646528","2.19343742038218","1.22499133251432","0.396504184156628","0.971171798139579","0.201403548682056","0","1.11977243455766","0.768172565621329","0.968457198576757","0.753208660226971","0.446974679475016","1.42344200728504","1.9551447696015","3.18653330267032","0.345251698173028","0.452604722039627","0.701593093707986","1.36921293928283","4.62104605164232","1.47538600055564","3.30197171704512","4.35722224495064","4.86291622648276","0.309166403922951","2.36755240154117","0.41759790309433","0.28701834184128","4.18451686740812","1.03960044188644","0.301241759793695","0.321833847264622","1.41399240232131","0.811592348078991","1.03887007002357","0.148759046427376","2.9717001378736","3.19135745412047","1.01138869175497"
"Unknown","0","Unknown","475.090909090909","2.03030303030303","2.72193952205703","0.834154629675821","2.6980533550652","1.33847556969087","0.612341271566527","2.0780444962924","0.755877337996016","0.43871294269411","1.10956779833518","0.91600880738681","0.564319696404415","0.625617705530344","0.510600689482301","1.12069707765715","3.36028721482534","3.63098918663013","0.633378949430031","0.464470026143507","0.202233409804893","1.19082016047744","2.80889536444539","1.6463080258892","3.87034699398741","4.10433197579202","4.64137896443951","1.22928997448562","1.67219518365274","0.337656625748475","0.21992756866227","0.799949339748333","0.836117053308526","0.423757363668636","0.408468151744421","3.12298973853776","0.505930570612309","0.105187915813087","0.0566542372059037","2.48258207423823","1.60934458454603","2.65661609864491"
"Unknown","0","Unknown","486.084507042254","2.35211267605634","2.75844709580963","0.897251794673829","2.61829299773176","2.39020488491865","0.366391179940286","1.74717367901906","0.370662790484564","0.134216342928311","0.823897469856407","0.634628153253602","0.411135952873404","1.73157150385862","2.68435457554223","0.659219613584656","2.21284117223252","3.69976759260778","2.85208131986258","1.08065238439083","0.217782669277827","2.28547627416804","1.9409204238689","0.885354360640093","3.3488978694395","4.87123578611657","5.45783489994238","0.210430337170117","2.0320708080419","0.275066225968281","0.509420860995977","0.247909188908114","0.543479923181626","0.162813979889134","0.142459599844891","3.16203374422537","0.761115347498231","0.096171634108381","0.117675114527114","1.8773643782249","1.01700983401699","0.282140543065899"
"Unknown","0","Unknown","586.341772151899","3.36708860759494","1.97983497203479","0.793271835545769","2.05011667019797","0.797960456602852","0.790827305731588","1.55468418675276","0.261533334803809","0.562032511001511","0.9055696493904","0.314798345974892","0.261071115229145","1.70334757228941","2.40770582167502","0.742130581119875","2.01727825138015","3.14597262125309","2.45601665069923","1.14435852225637","0.49026168605781","2.00101662824734","1.55625597942047","0.662943583932107","2.09824311441618","4.85378295209146","5.42012339158163","0.116728622358804","1.91649290935344","0.835045976380563","0.323646400932232","2.791470024824","1.07794054394348","0.106690885144985","0.469780082694383","2.686796491794","0.520543590170483","1.67413614616516","0.0905508243359265","1.59690377075179","1.20664789802244","0.131076806031992"
