"Round 1","Cell type number","Final cell type","X","Y","CD68","CD163","CD14","CD11c","CD206","CD33","CD40","SMA","CD27","CD45RA","CD20","CD3","CD7","GrzB","TCF7","CD45RO","FOXP3","ICOS","CD8a","CD4","Ecad","CD303","HistoneH3","DNA1","DNA2","CD38","HLADR","MPO","CD16","CD15","Ido1","LAG3","PD1","PDGFRb","PDL1","Ki67","cleavedPARP","B2M","CarbonicAnhydrase","VISTA"
"MacCD163","13","MacCD163","419.186046511628","1.34883720930233","4.00793653548724","3.10017739416835","4.93261040394153","2.7560679404335","3.19464283037892","2.43317824121945","2.82028827866522","1.94206386149881","2.03288753044533","1.02014834391682","1.24801242677698","3.38312608482115","3.91968845596661","1.97716203597751","2.29578873244284","4.66712368556821","3.13100078465236","2.33212247852336","2.71944079351551","3.86650380648821","2.37550595593348","2.1231697250748","5.30006462099887","5.70359073681489","6.26341850198044","0.760024270733911","3.87121653980125","0.192788816159538","3.00456378065741","0.541048623247019","1.5132991907567","0.491438667903189","1.98029168136862","3.18329224168991","1.68015926316968","0.531961950747254","0.309977854731329","3.53473576684378","2.99807487945165","2.47063629704544"
"Unknown","0","Unknown","255.125","1.5625","3.58665184845093","2.62146100401247","4.81686796756812","2.82698797641905","1.54689101182238","2.03274927034901","2.49420233887271","0.656972826942747","1.49128508656504","0.964882008473263","1.00258178607453","2.64568843895963","2.65975871116473","2.13905700925397","2.10893971639111","4.0724084155254","1.16832997049642","1.8164184358245","2.64957579309085","3.45386401896632","2.04832318855093","2.12789719183746","4.78905672125008","5.60243692906276","6.1279837509087","0.593519514681067","4.33585982670827","0.205080568446518","1.34461881825883","0.327340912695934","1.81197532646482","0.474541607200873","0.793782732557886","2.93014034398748","1.48723495995566","0.80818479288202","0.445980625250528","3.39971141849773","2.37516949682054","1.05220896133393"
"plasma","6","plasma","275.918918918919","1.27027027027027","2.877348512343","1.68523302247164","4.93906036030107","2.18656166232522","1.97035083820527","2.59231018418568","2.68512474344468","1.45505787115237","1.29705372529184","0.67608364068556","0.904668946838495","1.87434381137692","1.98989066852907","1.84367794675171","1.83574553696719","3.76880978551227","0.85741377017226","1.35090760884288","0.768741596291251","3.01684912760203","2.519459006168","2.21514383078679","5.38482132464093","5.48803133106562","6.04768820066269","0.903901441925345","3.51383621359976","0.240906272799072","2.20391357643738","0.339277445768504","1.65054497055255","0.54294691924032","1.50862473783228","3.72084632245754","1.11311977144906","1.07150352300617","0.374981488628999","3.40893950722601","3.49402962820743","1.87629650368367"
"MacCD163","13","MacCD163","400.268292682927","1.90243902439024","4.37443489782266","2.89563176519499","4.99658106352029","3.18185095348575","2.64171902716144","2.01740667774266","2.27956834596195","1.42267494271356","1.07086792952197","0.608129393128875","0.998297850357256","1.38750306045512","1.64136457669388","1.57261541889414","1.66633126799406","3.76256965879518","0.654455265650367","1.04867444410329","0.695567450203723","3.10175693431968","2.3828373680778","1.77494983604231","5.67875470678742","4.88793465979804","5.48964730708455","0.711268863128","4.14767367132564","0.330943002765029","2.65404757723544","0.232872334349328","1.89269839083094","0.630242192521535","0.973944107443994","2.35924734870899","1.52039259894353","0.457532844686176","0.552637047105896","3.18558854832763","2.43008532072446","1.66055019960222"
"pDC","7","pDC","293.833333333333","2.46296296296296","2.35336477414119","2.33995200513558","4.85720169335767","1.8352789054302","1.94332556245249","2.1268646705927","2.23671852027888","1.05128782820743","1.44324233550381","1.26376376958502","1.45608967344476","2.64016427662864","3.11781097590141","2.42710650590844","1.79815032065656","3.57726432182412","0.773903852723947","1.54357518921732","3.95885779825996","2.74721309088266","2.10638177944944","1.70283812309058","5.25480499354896","5.05386680785952","5.6237415447175","1.08303345941448","3.60073085713107","0.169409559769505","2.34092614484974","0.135529640321017","1.47075334435284","0.561288701573012","1.46032115477112","3.23692375771907","1.13704114732896","0.632872484606491","0.420711698091574","3.1779939137884","3.21443106818984","1.17315541268391"
"Unknown","0","Unknown","341.630769230769","3","4.23562003021437","2.40596151717214","4.84685680543536","2.24833645665337","1.51523752261505","2.28094513422512","2.37576287384396","1.26252327590804","1.6344287969605","1.03382809874632","1.03440344590995","2.55107742775766","2.02084736322551","2.02709117348793","2.27212080572392","3.73501371313551","0.978529927723185","1.53241896070106","3.77578772237457","3.02179146519826","1.92025211574644","1.85749318901087","5.35072231934175","5.63854024273108","6.17333752580459","0.684210786339378","4.48096208260176","0.252071607839289","2.24596244249532","0.411782150618117","1.46376507837151","0.542719612261495","0.844522770196528","2.46917562508547","1.41035660727883","1.82368835754786","0.673977390896721","3.05886870185861","2.41850277022887","1.84191299107315"
"Mural","12","Mural","21.8387096774194","2.7258064516129","1.88163607430552","0.452265458373553","3.97936415977715","0.92841408100519","0.595860087373705","2.273921799449","1.8575547318886","3.99178030350094","0.992554278630881","0.894615459772959","1.30349376789933","1.26835168424856","0.907991172470367","1.59094901064327","0.909898535910686","3.26549837865266","0.800706470444126","1.09696828714839","0.881180854726417","2.06957423139862","2.52094863068294","1.66307107734982","4.99150326728825","5.36994110470056","5.93244292490883","0.88678272599293","1.89710471332287","0.154036594230115","1.00261666676267","0.236287449858181","1.31472148909665","0.354150239503911","0.831360891619016","2.89844635940509","0.70533248687465","2.49755087549613","0.295519495913257","2.6650647098673","1.80531328785695","0.982613595713908"
"Unknown","0","Unknown","462.206611570248","3.34710743801653","3.55217398487834","2.10664897547298","4.84516294690792","2.55216363801778","2.05340180583344","2.70422301650147","2.29020803677053","1.97944528911004","1.07693189199944","0.815149129130808","1.08334565019357","1.33661054088286","1.0055769678174","1.99468110131351","1.81242843607531","3.43204289138096","0.950923309104409","0.856529722607318","1.0179346759364","2.87980953611988","2.01624938281839","1.78799061999819","4.64207573405589","5.55041281533904","6.11854018029817","0.705283944253489","4.32903363830028","0.232565871129392","2.55343823178641","0.404686016828286","1.1433717659783","0.421017717549286","0.785343561330364","2.94303865109386","0.949741699469143","1.46212915051274","0.361319519033837","2.75515048086559","2.42965859491926","1.57569036821386"
"Treg","9","Treg","34.7017543859649","4.14035087719298","1.7412856407241","1.02341474293869","3.86265151904539","0.720691952998082","0.869640463743145","1.05849404538257","1.79867220960301","1.30788412890615","1.21804239126863","0.730145159493522","0.816558543562219","2.75283817254151","2.6321029297926","1.08668119561845","0.567846976671217","4.04368350066176","2.91413121623023","1.17117600903874","0.459808520710665","2.80575720150496","1.66401357343216","1.36091412705206","4.72534005237183","5.46838227627217","6.03915572370353","0.217694498707376","2.55932231595361","0.142025541784653","1.22556174534935","0.139513358933433","1.19770947158386","0.270781221745276","0.648382422257347","2.57443357696651","1.15661297585203","1.14000638972756","0.218393953136765","2.62446410791446","1.36160267639475","0.926055374021136"
"MacCD163","13","MacCD163","350.780821917808","3.97260273972603","4.75192288892873","3.62733245075146","4.98910701031435","2.91096173355278","3.26352786443245","2.34410112886898","2.3084002126022","1.70540469701075","1.07953441631958","1.0212864322289","1.18966487321731","1.30492185409882","1.60029600927174","1.86133906611491","2.16970599433866","3.78901031037724","0.979254279962622","1.43945105567261","1.15068905539911","3.14460867194038","2.17986611364848","1.75993011760614","5.52994777422732","5.15318738527774","5.71927246095771","0.677004164855208","4.02536166041665","0.310945896969525","3.2215045690433","0.348710541604859","1.67224263872926","0.510093908647662","0.796621506270795","2.41072963468937","1.46507374078274","0.589599817528623","0.408621793135306","3.14973865604182","2.18992680313306","1.84863887168559"
