"Round 1","Cell type number","Final cell type","X","Y","CD68","CD163","CD14","CD11c","CD206","CD33","CD40","SMA","CD27","CD45RA","CD20","CD3","CD7","GrzB","TCF7","CD45RO","FOXP3","ICOS","CD8a","CD4","Ecad","CD303","HistoneH3","DNA1","DNA2","CD38","HLADR","MPO","CD16","CD15","Ido1","LAG3","PD1","PDGFRb","PDL1","Ki67","cleavedPARP","B2M","CarbonicAnhydrase","VISTA"
"Tumor","8","Tumor","500.888888888889","0.777777777777778","1.47203774826121","0.459853976121778","3.4858037271312","1.48383019661368","1.13903997846023","2.29093966431768","0.970304282368541","0.604360093167236","1.26807733357451","1.19049381260102","2.00378000173923","1.92751439898451","1.72694325972926","2.67275032180272","2.06570846420248","3.28962744546131","1.86697941937588","2.23389200228037","1.19116178526744","3.0445684042899","4.00258152919772","2.51096211617995","4.34643360874183","5.2767542927572","5.87156122204651","0.284680678522539","1.00829692742395","0.327450150237267","0.585916516483944","0.515856635566925","2.46706843110329","1.78872877293228","1.43650287613019","1.06683129131676","0.910300778612475","0.656276451153305","0.652262056073079","1.0594446162038","2.08729729181937","1.40282440885927"
"Tumor","8","Tumor","548","0.935483870967742","1.85745455800751","0.406933491946183","2.71224933714351","1.65550495333201","0.62789895400075","1.57912122480699","0.846722755048152","0.908580072844783","0.647489979785912","0.718334408708927","1.43599473247046","1.34235494393807","0.880900135230019","1.98959449844779","1.99025249451341","3.56808033594193","1.55305742493899","1.83789688905188","0.811544681241453","2.23939449196785","3.00865003609617","1.9002836904945","4.49637325191387","5.57897663296509","6.2036900870059","0.143558458218593","1.18160882920888","0.148583286204826","0.38083209225591","0.321383870250189","2.1429420121076","1.16885483867031","1.06091898759735","0.924618295272187","0.918890671536823","0.66010827838632","0.755474789643739","1.13638514222219","1.69353037560319","0.628907898214156"
"CD8","10","CD8","373.538461538462","1.15384615384615","0.634782607441003","0.222087207217403","3.38304291015999","1.08919622520276","0.906459353862122","0.912638748663426","0.649419964465457","0.792330926354862","1.2861117711745","1.17810154869509","1.20080223302115","2.55339719705849","3.52275170020803","2.92498323410811","1.29500686690142","2.61318046845278","1.50533227231217","2.11928485865319","3.48988389481372","2.45391983364718","2.62799626537885","1.78576681146569","4.31695656129776","5.04614902483035","5.54665546882185","0.305599475422264","1.5483921113907","0.153245639938403","0.505615528243138","0.588599039237463","2.02402922245909","0.732631149267384","0.75220574850484","0.962375332146174","0.408101364998858","0.052802033926157","0.345572412584903","2.17409729982312","1.09509257021169","1.45823057558035"
"CD4","11","CD4","421","1.38461538461538","1.87240064186223","2.59840938084279","3.60861486017729","2.11837104092532","1.91874259839504","1.89033311161482","1.01888107812823","1.60153863354284","1.5928447167802","1.28240460171408","1.51869740827945","3.0088497136474","3.22944435358918","2.68718564559776","2.36876726241627","2.80310855698003","0.586718830889918","1.82892258878915","0.72188372781972","2.59227188114453","1.50704675301193","1.91318974664823","4.0766784573108","5.96460619774393","6.57541255273857","0.384990043088213","4.47365244291546","0.195829170061066","1.3780128418329","1.11555320558497","1.55872398427251","1.09585343818236","0.566069405511216","2.39167169981159","0.731545056018604","0.392391071265616","0.472097476962937","2.63198369675441","1.38504927999635","1.79446953930963"
"Unknown","0","Unknown","353.333333333333","2.28571428571429","2.22189852227512","1.32393364145656","3.37494831387079","1.83375625366308","1.27844008664468","3.84842059921476","1.27303212350399","3.00224336936677","1.73967402434069","0.951376229671743","1.32360429418844","1.28148228134662","1.13232438659965","2.07836027740861","4.91442301782785","4.19097763215425","1.35388519663458","1.87726287235366","1.04692756045869","2.16173605819324","2.32788556612345","2.26999615466315","5.28061548137841","6.17812063890335","6.76328337538277","0.416987176850235","2.72290455861159","3.27996164852207","0.766205250629393","7.05988995339639","2.08831858172082","1.72892369386868","1.04105726935288","1.38797140924476","1.77883800003642","1.70948488342887","0.544565438064557","2.64766076423799","1.90420232113536","3.26402358870005"
"Treg","9","Treg","389.367346938775","2.22448979591837","0.943656369090604","1.98031661598032","3.52074196765624","2.51646665387566","1.10362588985746","2.24874869304647","1.21147538520904","0.376414716861684","1.14444046413026","0.584790568730998","0.836423742354169","3.09912019785326","3.20535180416205","2.49701584920725","1.08187042275582","3.54656017547921","3.11032455983222","2.19930197263205","0.629906790528073","3.26036948561045","2.19044398672423","1.59329999298159","4.46303736714139","5.40599463230381","5.99677486937681","0.268409984737157","4.3798870635624","0.206777623410832","1.11534702863622","0.77828774134524","1.29237008592303","0.594476522616702","0.636095696304575","1.04678164870825","1.15887126683305","0.326259889563418","0.179520409102944","2.35250560800434","1.21278465000864","0.875836156629419"
"Unknown","0","Unknown","238.689655172414","3.81034482758621","0.319345317682093","0.131899151038146","2.00686471867238","0.571482198798206","0.3944160496168","1.06655608941383","0.119116134306754","1.4921434005013","0.367179009081216","0.403437341485032","0.342038827817949","0.740842546674066","0.173688872875131","0.90428485159565","1.79452584294607","3.28296520853033","0.196087398599429","0.791493231797841","0.325302542578532","0.946697566200737","1.84583681321715","0.321508293578","1.24291206357378","5.18311993856531","5.78290229274175","0.212215012835137","0.41964098777484","0.183508755845036","0.130540285206287","0.0550874490637673","1.03376289452639","0.536054736573658","0.332997805022721","1.82962056154389","0.17253748438404","0.187766650284509","0.193371951514947","0.445300632616606","1.08675249935944","0.319928838753358"
"Treg","9","Treg","284.444444444444","3.95555555555556","0.38987251594019","0.0513865932589313","1.59039349287062","0.270371358480336","0.220016312122391","1.18460487724847","0.0719581385164601","1.164891675419","0.538738128419714","0.180997492626546","0.429571024062064","2.47402571010623","2.92262626051443","0.905366396470562","0.379010108634789","4.14434132978434","2.58970503382679","1.22739709231966","0.75329570422936","2.67930412815815","1.19170242966393","0.648820555242955","3.88761723523195","5.27144492707329","5.8611568276133","0.261612424661598","0.213641841691079","0.110883748301289","0.241934639523911","0.264199370868391","0.60712946705145","0.270886409149726","0.574120887283857","0.872502765067124","0.0896047015670932","0.209836214042635","0.165269250029822","1.18231548804992","0.472059708468982","0.42049535075612"
"Unknown","0","Unknown","402.935483870968","4.13978494623656","1.08258629779341","1.15727165523458","2.72340003647638","1.03115274206083","0.686808528452539","1.53431585860886","0.809183185076129","0.607171386993087","1.2650910036804","0.65457426250111","0.822499099832057","2.62277919815407","2.24545275704088","2.80719600951985","1.26354808311232","3.52276659721752","0.785130890643564","1.60770114982366","3.72184045967819","1.97429714680921","2.27730505512481","1.54844944362441","3.99797492927137","5.47353842838132","6.09002511432793","0.304911545153905","2.95214495419358","0.230740758409078","0.509997299086022","0.367888847108983","1.42463450629601","1.12137473876064","0.964718963594483","0.518769563207377","0.669336257546239","0.566961383386159","0.25097579721632","1.96759502394448","1.08678738008489","0.91876397120977"
"Unknown","0","Unknown","182.897727272727","4.98863636363636","1.41749475911563","2.269282665564","3.59946835536177","2.93688039438856","1.6546660510208","2.33874128205583","1.08977617467107","0.631917599222259","0.798295661747815","0.634661636912263","0.706405805528855","0.979765376864438","0.699015711967959","2.42430470884935","1.2704787954557","2.36427590415416","0.663829521706704","1.31132075864668","0.55562391118846","2.482641817893","2.0788687338658","1.43907501929451","3.74946048779779","4.25739181220247","4.86498377430373","0.397432769687325","4.14753480238093","0.293122990434222","1.62815243626313","0.675391419941799","1.31681183780739","0.572554870431835","0.456096553593013","2.58054907968522","0.716638556327031","0.360326022592216","0.407605058342794","2.07509745865342","1.2600704306938","1.53887142300501"
