"Round 1","Cell type number","Final cell type","X","Y","CD68","CD163","CD14","CD11c","CD206","CD33","CD40","SMA","CD27","CD45RA","CD20","CD3","CD7","GrzB","TCF7","CD45RO","FOXP3","ICOS","CD8a","CD4","Ecad","CD303","HistoneH3","DNA1","DNA2","CD38","HLADR","MPO","CD16","CD15","Ido1","LAG3","PD1","PDGFRb","PDL1","Ki67","cleavedPARP","B2M","CarbonicAnhydrase","VISTA"
"Tumor","8","Tumor","354.777777777778","0.444444444444444","1.49829700686256","0.599955980990273","3.96603565406403","1.90356854658066","1.79056501399537","1.80331720564234","0.539195843036514","0.33299700540537","1.56367749034885","2.03701775107668","2.69352420000813","1.26497380164202","1.00225541512105","2.40454219207521","2.40874230430371","3.87570404454273","1.28027453421055","1.80265286357231","1.67962577541294","2.316998459668","5.49889528897066","2.46309397039261","5.12609248162538","5.56033586895874","6.10553717861637","1.29061027800236","3.20935512146003","0.110883748301289","0.525162960622388","1.03091676978436","2.10051953748406","0.368515770456953","0.901689239442706","1.65059075023333","1.49863882898043","1.44101614118161","0.650634093686431","3.28881352142827","2.06522058254573","1.21692783458009"
"Tumor","8","Tumor","169.826086956522","0.695652173913043","3.73068690549103","2.53601792575437","4.82331490135029","3.5041365033222","2.3693134838789","2.85717049272097","2.62919237701781","0.91976178194157","2.0939331014645","2.34258741759951","2.65764297503055","2.25438657778566","2.01696506060389","3.0603555711066","2.38102413520124","3.5039193394437","2.03183370441443","2.34413635656476","2.49741265539579","3.19232327507186","5.99693944608338","2.95037409507876","4.55340281015533","5.29204399184166","5.90034135549104","2.26793233172759","4.56167712012082","0.388484894012753","3.22883843526987","0.831819031122853","2.66655316652185","1.52804819018779","1.59483973007312","2.22303572456673","2.85880056921027","2.72157110062464","0.887068593617613","4.45860314054525","2.87990201997458","2.20029925594798"
"Tumor","8","Tumor","238.071428571429","0.428571428571429","2.50105540810096","1.10603319312938","4.23794241421585","2.66764734892192","2.29461107154549","2.94924415303247","1.25437816670242","1.66278925766497","1.72757392240131","2.12446339584231","2.82203591053392","2.25740923119287","2.32098967797376","3.21389640168949","2.84600875347006","3.12491636992321","2.23929927483523","2.65580450395742","2.03748181297476","3.30979729348375","6.20988119981895","3.07085123625779","5.03686946873204","5.81052919372066","6.35139309852577","1.53808558632518","2.85288958231905","0.575027245653264","1.69821877539153","0.455450698941189","2.78091814943957","1.31404009525329","1.0561939670838","1.71239953795636","2.95151750460761","0.960354762830366","0.604797036351551","4.05473131013416","2.76695068631611","1.28435911351128"
"Unknown","0","Unknown","383.307692307692","0.692307692307692","3.87236236668264","2.40423591974576","4.24870007129654","3.39766544679906","0.779684341774192","2.88981408121986","2.2760988192323","2.76776168963826","2.42013210246571","1.11098141047929","1.8714415141877","3.28010227388505","2.5397393823123","1.84085084951495","1.83711573731976","3.87988088870115","3.89358275529841","3.0931569561681","0.74229921851519","3.51598455960648","2.83167119433941","1.5903012817866","4.73072366105891","5.20755265445769","5.69841295111651","1.48549325324814","4.67475154041594","0.0827794138788559","3.22767230466247","0.812312630353231","1.62317581107776","1.20252763393126","1.4518305940856","0.541982392478219","1.51624753164252","0.494259810514892","0.170463456910077","4.2185289431267","1.89375742979761","1.70831358378789"
"Tumor","8","Tumor","445.416666666667","0.708333333333333","2.50889260970047","1.61071540128176","3.97710777365332","3.16196327594439","1.64524180682149","2.2895870404726","2.1279956627881","0.0218815233517687","1.45651530068382","1.50612804428367","2.06282344850174","1.44823056309608","1.86708919628392","2.37466618905207","1.99788622656628","3.30455180186479","1.52392639646879","1.75427199107405","1.28962481189318","2.91630671364931","4.94112751929283","2.20210787215912","4.38389010307727","4.65773897662234","5.27199598867909","1.02055406183541","4.35899639082311","0.165904550269306","3.2053150678735","0.0309292174258295","2.594594198155","0.63772742845296","0.855612161296418","1.01094957315201","2.04313965102199","0.604573298818316","0.135521838732796","3.70220168881184","2.04993004894881","1.92880512844248"
"Tumor","8","Tumor","114.972222222222","1.44444444444444","1.60605837822125","0.653648188894292","3.74100884803006","2.1310823900375","1.63318714050947","2.15206529562425","1.35093332730284","1.01832902556653","1.47591107090347","1.77935692611564","2.10474711879945","1.84028473050529","1.38207466471521","2.57475090786116","2.03769039661542","3.16685498942816","1.6583732037241","1.68479287544924","1.67739763620831","2.5070602624189","4.49222835685435","2.42217703682873","4.61248122794503","5.3269892634278","5.89632716482167","1.21508586945817","4.15900270034901","0.251001374463766","1.24853012957021","0.582450034974241","2.39346649462727","1.04534938938304","1.04988385572001","1.53378238044693","1.84599950645508","0.694383119176681","0.725479770993272","3.79020228475772","2.12219779361307","1.03810279228387"
"Tumor","8","Tumor","513.85","1.75","1.71292808143802","1.59718513186777","3.66080487421696","2.34041987377396","1.53440107828706","2.02814299171279","1.57229366485536","1.02757591685174","1.188659589732","1.58519458331696","2.08666793976932","1.61263722515994","1.59596924352732","2.21230676487619","2.15076481728921","3.56371009671093","1.67137386121032","1.60697128215473","1.46544052714488","2.57107037155653","5.48140921192636","2.10328788867319","5.07430595686672","5.73414362441961","6.28159174032317","0.827840603355632","3.79730232183442","0.249578257704895","1.74260338394326","0.703612722747449","2.11924114642719","0.763742345086323","0.937585468851702","1.44998204549148","2.00792097120435","4.32383943906585","0.488680586633036","3.52650784435171","2.18351996216294","1.20713958099535"
"CD4","11","CD4","285.846153846154","1.73076923076923","1.94421715527005","0.899348714822423","3.95920422429513","1.84955371225985","1.78251879327479","2.27551024533649","0.947229446714395","0.605377113689923","1.47197440241403","1.81852968452209","2.09194764478083","1.92926888817851","1.97796087373794","2.75976599747564","2.34945202410005","2.98077997351703","1.70483906382145","2.05087278016588","1.58845179229487","2.82042530410136","5.66465757270526","2.46113322574469","4.37410864842134","5.69794291028225","6.24437193820676","1.46377300620279","3.37393675403542","0.148037018232629","1.19927836795833","2.56943132503148","2.42275626022003","0.840152177754169","0.907852280950292","1.23390850106838","2.46888751862164","4.08505851128012","1.55112582355832","3.63778825857259","2.36952975821965","1.29936882526694"
"Tumor","8","Tumor","135.622222222222","1.93333333333333","1.09209667248719","0.28994643066361","3.7877531854601","1.57001450245336","1.71601860317953","1.73786021870191","0.306573322617382","0.809979012790979","1.49451549424355","1.93652569764685","2.26512273495723","1.62592004574433","1.488649123869","2.38663961802883","2.15275268085004","3.40155235784189","1.54929742020602","1.86883220383119","1.51764558086613","2.66976060808803","5.67818777419426","2.29819311851006","4.95051862996179","5.31655524618117","5.86811836281233","1.25030419792406","3.5316067940754","0.161801695814896","0.783217142523251","0.837307074178268","2.27704269202967","0.624840557921808","1.06167506694001","1.03345880030458","2.02607063244372","2.80316180255465","0.475227588860703","3.43145560248556","2.0903536291025","1.08855747873931"
"CD4","11","CD4","344.275862068966","1.87931034482759","1.12965200846837","1.03404736826598","3.88732748381885","2.35747558120654","1.30547161832231","2.1942109167403","1.75191621563049","0.872665247369403","1.19024981098316","1.71374544202744","1.95058511549554","1.87746872288288","1.83090526011651","2.41156187867153","2.34994334409294","3.6594023056982","1.4848591456651","1.81224983128307","1.36860864917013","2.59060917848524","4.81620153508633","1.98833111454937","4.82108678824737","5.21644567453952","5.79315195093403","1.0270885747441","3.31029061403122","0.0517011019775716","2.15844263767479","1.08392412878887","2.14447578955496","0.936206385358706","1.07033880016922","1.4511011319223","2.10085864271168","1.39283106358588","0.166780142727974","3.35718961868093","1.86925670171715","1.15234159165309"
