"Round 1","Cell type number","Final cell type","X","Y","CD68","CD163","CD14","CD11c","CD206","CD33","CD40","SMA","CD27","CD45RA","CD20","CD3","CD7","GrzB","TCF7","CD45RO","FOXP3","ICOS","CD8a","CD4","Ecad","CD303","HistoneH3","DNA1","DNA2","CD38","HLADR","MPO","CD16","CD15","Ido1","LAG3","PD1","PDGFRb","PDL1","Ki67","cleavedPARP","B2M","CarbonicAnhydrase","VISTA"
"plasma","6","plasma","13","0.416666666666667","1.67224392034616","0.261354428119258","3.34220922709558","0.765988413535678","0.249115005930457","2.7474389351949","1.8934364124169","1.4821561875653","2.35343681906794","1.40652603066971","1.21776136705353","0.771162519585666","1.3421885021153","1.74882401943853","3.54889286365692","2.37621491395602","0.584001773878786","0.73469805247851","0.228428867346066","1.88743575113367","2.6450364357921","2.24423182598977","3.54487106004399","5.10772258929558","5.66789953668068","2.75564587201587","1.19980862148458","0.983371662514198","0.441926277682117","4.61802726297612","0.997756887041516","0.477509148637163","1.42092580105494","1.91913287965404","1.55013805515351","0.522531336006968","0.704045573736922","2.84860280936358","1.79111187218216","3.05472534798831"
"Mural","12","Mural","50.5","0.5","1.4446650439346","0.0591565015277064","2.94044964483288","0.60313139509854","0.17827950020486","2.72046279343868","0.69830584163435","3.23137902215878","0.798429377944801","0.672506099887929","0.662436573472899","0.858005903237359","1.47381187392252","2.63246458094057","1.21962116554645","2.42042707816676","0.74749199932859","0.588161217329885","1.80006105873462","1.71492454431447","2.03440012516703","1.60599078906194","3.14981210263127","4.42860070248974","4.98862987772746","0.280874870899261","0.595092401859162","0.307625067388619","0.390924611730663","0.804919795501537","0.797660630058899","1.00503047114089","0.792064613982469","2.94818789571253","0.776553679581389","0.675323904825311","0.319787376312863","2.38115721630857","0.939161958655109","0.694586316523462"
"Mural","12","Mural","89.5384615384615","0.615384615384615","1.65349095343933","0.376859529225467","2.89713763497035","1.0350197673376","0.471184124317667","2.1967978467882","0.6967571479346","4.05760412041827","0.423366453449284","0.148227891776362","0.600255210553312","0.6408863909548","1.42834112517398","1.49157486764171","1.20961931515461","3.08704721059491","0.290240595814005","1.24669454495252","0.395450289759216","1.20044891817793","2.28132450104657","1.28385264760349","2.80943054644371","4.58845936097982","5.10438777641171","0.640865262248548","1.01703256616691","1.70634024293104","0.439131012024818","5.15755136881689","0.704299775135471","0.435244564943648","0.601608878095067","2.89133538684705","0.973154096951331","0.973055615322852","0.39000096897337","2.54147690079676","1.16506200010752","1.45133468350433"
"Neutrophil","2","Neutrophil","260","0.5","1.95414368361922","0.436907744881303","2.75397766354925","1.65551925069307","0.464109168952186","3.50706599713123","0.932215685493902","1.98426674792799","0.780797807091229","0","0.767606610323336","1.11707660986957","0.362874379974742","1.71467281947742","0.632061271105146","3.24742070223389","0.280517376571405","0.856979217058877","1.53163418011882","1.76106507373163","2.05390079942571","1.69178408778286","2.51244879023897","4.91152174070753","5.39780741748683","0","1.66814462246935","2.55555886755651","0.656692241238941","6.28837204925971","1.37933646856785","1.21082672938091","0.762110218615268","2.43619696020751","0.993417423369737","1.02897752413356","0.055625762485263","3.00048153694099","1.31784469169039","3.12938918552544"
"MacCD163","13","MacCD163","279.230769230769","0.730769230769231","3.97681618023032","3.60184243431266","5.5513706943288","2.36590452663576","3.28314643084268","3.34410284756327","2.58398589131243","1.13344754603241","2.53790657127194","0.779622970429506","1.2149131064313","3.245511224712","3.71381478889895","2.24022651356915","1.55198834816648","4.26334571609035","3.22857359235558","3.29057078786958","1.79249296606694","4.21574015868414","2.14640505386059","2.42065077491009","2.94201002462914","4.68622599400775","5.23225346250594","0.785568135419379","4.29994749743686","0.558701795182094","3.24415677516987","0.991478005642932","1.63866035604027","1.16157293589202","1.29103710759942","1.86980882520538","1.73414141370148","2.04315683291027","0.475006862606896","3.86318748742878","1.92256008763971","2.1518033270803"
"Mural","12","Mural","292.303225806452","4.09032258064516","1.96737989091733","1.68066822025495","4.12976296914592","0.858939833632455","1.41575561476188","2.42605666359833","1.2659136027852","2.04678109423421","1.31090700872973","0.391489009279641","0.655344950293582","2.07426335481163","1.49289664061284","1.69479786156883","1.25040258353194","2.73686623680672","1.28846535719647","1.47263984748556","0.778311194862405","2.17558748684721","1.72260336475628","1.39322581649146","2.29106119784086","4.49431926581731","5.06014478994863","0.485769578386258","2.69143691037599","0.181527954047311","1.68799119421302","0.898134775232772","1.03053779995931","0.604957432239699","0.675513644308449","2.6908352566224","0.618394968603128","1.85086490961993","0.522481965778014","2.52976298018121","1.32126739111455","1.25553804018592"
"Unknown","0","Unknown","436.733333333333","0.466666666666667","3.80565757371962","3.97915628519849","5.67763951896985","0.851612770813144","3.92323956054398","3.33252934106661","2.28805926646858","1.31115476579902","1.66518893382835","0.537677475833253","0.65517892475131","1.28906204357082","1.25291193057278","1.73182318766427","2.35142413657395","2.73556499851618","1.06881042062851","2.14741203399759","0.611508397174031","3.48710598206353","1.88141126602983","2.37380738259557","3.32776920883974","4.87501995620373","5.42105716429925","1.20533217370842","4.04984816551471","0.350764535498264","3.17883711627118","0.687181014524818","1.76415648819392","0.899548788280518","1.10196094863384","2.41088444834397","1.3314850274786","0.599125238816811","0.108929238537586","3.13178044200188","1.96573903495348","1.05040024029406"
"CD8","10","CD8","244.647058823529","0.941176470588235","2.02830529692753","1.18936698194373","3.55126755733441","1.80377099168703","1.00106393208477","1.74078271561353","2.03450232388909","0.0818366746207449","1.59876447504883","0.296730578842442","0.864099265660914","3.48217258301746","3.71109912491185","5.11116122062145","0.775177727592884","3.89128448047555","0.766132442619094","1.77079449525475","5.24876943954003","2.18489838764993","1.61373915532791","1.08519538233753","2.62687193924243","5.0710738904226","5.6755075527935","0.957758058062611","3.15286669658533","0.212777409555306","2.06316525279397","0.11426451252885","0.735897933257827","2.21243196601897","2.32680580626799","1.96760396597115","1.45374172424516","2.44176742255343","0.304893647284048","3.23841125065287","1.17916177894332","2.63005647749595"
"Unknown","0","Unknown","410.8","1.31428571428571","3.83544049082802","4.25470369164682","5.58542978416506","1.09756333104017","5.07291876708751","3.59739119108449","2.30544302387379","0.470665115198463","1.97032640544166","0.544729417459404","1.27131777050767","1.90164467852978","2.43709103325542","2.06725276541189","2.09851184674879","3.60463993407893","0.725015847102132","2.39311703792643","1.75284461888232","3.73328671833326","2.40764548270862","2.05023207409568","3.18160186839585","4.88435985559335","5.3814004442447","0.895584220769023","4.0391348060294","0.19869011034922","3.19224580716348","1.05876393623713","2.55122667879141","1.04773858587855","1.10975448489576","2.76232602225287","1.41422674203891","0.536903507682074","0.622290024846719","3.46099342196196","2.42805136683068","2.09488242543053"
"Unknown","0","Unknown","501.45","0.85","3.25370925670963","3.51889013903105","5.25806989955371","0.849043302552909","4.36138439619498","2.93723604136026","1.94697916503785","3.03340860608156","2.65113274605867","0.892872009233567","0.788467694597076","3.01336701600833","4.04451124704157","3.98766198161074","1.19421295815608","3.68686325000811","1.38984525952501","2.04153874213954","4.76043080285861","3.21100288249694","2.16059931257351","1.85812806762592","3.64018798762109","5.50721456191859","5.97786115050466","0.853888546056625","4.31687856400842","0.236750774304793","2.39162198335586","0.334963391795139","1.92432538247902","2.29983054403168","2.86971443736308","3.11707281194793","1.09430406335231","5.2843138601853","0.995340168362656","3.53902688625011","2.15057691720608","2.19803238566349"
