"Round 1","Cell type number","Final cell type","X","Y","CD68","CD163","CD14","CD11c","CD206","CD33","CD40","SMA","CD27","CD45RA","CD20","CD3","CD7","GrzB","TCF7","CD45RO","FOXP3","ICOS","CD8a","CD4","Ecad","CD303","HistoneH3","DNA1","DNA2","CD38","HLADR","MPO","CD16","CD15","Ido1","LAG3","PD1","PDGFRb","PDL1","Ki67","cleavedPARP","B2M","CarbonicAnhydrase","VISTA"
"Treg","9","Treg","591","0.4375","2.77749660246575","1.93647570398957","4.06935297188502","2.70051136923426","2.04833560338521","2.83646975158009","3.16510259884733","2.59524755928314","2.86821003369498","1.93928947217461","1.57247217159315","3.3028044314221","2.38163567190013","2.59201434299558","2.97358251882629","4.06873447510772","2.71397618365122","2.96907768987975","2.71198968983587","2.99652895183269","3.36795425469311","2.24647666746694","5.4156661248502","3.19158064213326","3.86532997886056","3.56245822349834","3.90225032882479","0.590424857283685","3.37013126196333","1.09697721600325","2.68861015905983","1.81144078116321","1.69626504589715","1.88561479645345","2.26091127806509","2.90499461075391","0.00289065702419124","4.4257313377537","2.13031756514698","3.70524998675062"
"Unknown","0","Unknown","237.5","0.5","4.89770449286844","3.54963346493224","4.86625259003709","4.41298526977086","2.32581267894307","3.2785011462133","4.07364247888193","0","1.30153756889953","1.69472985213048","0.227334413826868","1.45838633950233","3.54371874776025","3.50520038497107","2.01564066071259","3.71746749428086","0.985280517107544","1.62609576243891","1.46611602815594","3.45299777946966","1.44031181999112","1.93776322057303","4.28546597836178","1.34277824150456","2.30495697140137","1.65361924369318","6.2819127481889","0.489426499127418","4.56856673718924","1.38139469262569","2.36755664562866","1.14638578212652","1.41972378463086","1.00260153020017","2.97167452837706","0.0462391079728551","0.0441479964521758","4.13060495608568","2.50746804327011","1.74652635708593"
"Tumor","8","Tumor","576.375","1","1.60154271271559","1.15796821870963","3.39312056993906","2.10225390944055","1.23426638943912","2.51605977930241","1.45640397622228","0.0906024878068158","1.91473860096639","1.52615664924159","1.62821244962325","1.94225190999912","1.67583037081154","2.65246969475448","2.47763641804156","3.40008680829857","1.89652240256452","2.61818239878927","2.02436596404114","2.36378923778395","4.47168624673271","2.26546798092758","4.7213653351429","2.38023888557502","2.90711528471831","1.42046596552371","2.43840519447203","0.518739910922604","2.53394051944892","0.680634075719538","2.28372929775835","1.19994376329596","1.4247822071565","0.974985036777706","1.3663929754006","2.37569761842925","0.279217205986437","2.68550477839585","2.1194485393741","0.846767631677913"
"Tumor","8","Tumor","164.125","1.1875","1.6772972655448","0.489200025379771","3.48781346138736","1.88451978098493","0.808749910611736","2.22313082874575","0.890868629240365","0","1.83547202849496","1.78590921485836","1.57309422748707","1.65289502071714","1.57359372435208","2.63453694567696","2.48103541124649","3.10303067990262","1.6989217948671","2.5274216806733","1.62272999695582","2.12410389798346","4.08968931365453","2.16046925652442","4.87200363200804","2.36012882107146","2.88553798260187","1.53593391816494","2.83546624102173","0.632830547203064","1.93401607966104","1.14103870394234","3.31830337650312","1.20530597836504","1.50920862344194","0.958901259840956","1.45120242113813","0.861046165263882","0.384552039428862","2.75252672463324","2.2168772642587","0.802968237596347"
"MacCD163","13","MacCD163","271.85","0.95","3.13567063477275","2.65434162183037","4.28355449252458","3.38297798591052","1.6984064816754","3.16776306554282","3.32645092729585","0.0487091464742995","1.68407279706191","1.47300514026098","1.10162004833018","1.87496908443071","2.38232979619251","2.78742330261034","2.33182432431334","3.34345534720863","1.25875063801628","1.62995195911883","2.02981150394124","2.80060121614888","2.88122291114691","2.40966979351255","4.65628918526339","2.19410999327489","2.57374258280412","1.75119926616549","4.9078392615228","0.68690609691907","3.99193379123184","1.12087671963445","2.40312463686577","1.30652304711503","0.840366139586172","0.904544185465335","2.11042074501145","0.793218359625357","0.58976630306627","4.12201388515354","2.47280743095057","1.23669621396638"
"Unknown","0","Unknown","296.588235294118","1.61764705882353","2.17667752257789","1.00629247432845","3.19603922236413","2.03278803393685","0.697070778388045","1.86885692485271","1.80777290704388","0.0173008933379024","1.60841932493423","1.47493993756845","1.02045818347636","1.54578359714662","1.44516719205299","2.16438802402425","1.40529778459408","3.08330256453087","1.28052980394061","2.02818542346104","2.02552413462161","2.12241691015053","3.26960561878463","1.97306089319202","4.32300815163921","1.69243797341914","2.22017357117176","1.39611481561029","3.5368433078367","0.472497991942306","2.42526267512988","0.448837676449532","2.98347377439605","0.697115190373407","1.19153742299126","1.26622920421709","1.60073097463208","0.694511398292892","0.146094949854374","2.92328225193364","1.70426616530337","1.07965450930434"
"CD4","11","CD4","367.896551724138","1.5","2.48688694301881","2.40682886007933","3.59290034671865","3.10641415632737","1.64584421205929","3.04535294924755","3.06984032736646","1.82603676210901","3.05349718623076","1.81443672930257","1.0804789092796","3.26805747019077","2.54215140103834","3.08578508331516","2.80529909957638","3.94005492149746","1.53830952949413","2.17158347896727","3.77266100191458","2.80176992772271","2.52321214380007","2.44959110313696","5.10910430999674","2.92823390535832","3.5564654511959","3.63302212332598","4.30178282340071","0.393484836939643","3.45981910387779","0.93219370565518","2.61675917974869","1.34160126752019","1.53552181375298","1.78499599536267","1.9328475795913","1.07122120591162","0.508807801236515","4.15925697394893","1.98804773114413","2.40965235111757"
"Tumor","8","Tumor","539.659090909091","1.68181818181818","1.78000915725706","0.967545225387622","2.96246865566999","2.19408295964384","0.79638459355943","2.52043371979824","1.58850866286132","1.30312554568606","2.0613497987628","1.63917202799538","1.6079051226494","1.50832831828709","1.82038199486387","2.83135542312778","1.91753539040937","3.73116647413287","1.05491732681858","1.66959242908711","1.62341374757637","1.89380994998877","3.18358861046975","1.68249166372476","4.9774139764994","2.63587162965187","3.23253408656727","2.29919865757266","3.53384402047353","0.471602441696763","2.80016823443934","0.774122526414001","2.57406164528061","0.847245997122152","0.93861230589879","1.47620887497103","1.31834892647434","4.27928371131406","0.157377137819473","3.08152514216732","1.80295817026838","0.743328253624385"
"MacCD163","13","MacCD163","23.4470588235294","2.25882352941176","3.17086789322615","2.58763923099762","3.6334362734827","2.7793669002171","1.8339832420364","2.47835994401718","2.37416195326347","0","2.23678060594938","1.92190993047833","1.78312211048937","1.80215646275852","1.6182773371616","2.39203395980087","1.8281115585769","3.79241928883917","1.46912195901374","2.20942607065964","1.37919007859142","2.51959960923752","3.3179342659546","2.37892098221356","5.33893084450454","2.74136790280488","3.28111811807066","1.91614337523227","4.18146685943565","0.491644054266697","3.35419936426821","1.46356227186632","2.43112326730261","1.36214129459739","1.40822532664345","1.69104550733861","1.87139699659027","0.930371670675784","0.577200879997039","3.57623382734443","2.40395384453045","1.1003647092863"
"Unknown","0","Unknown","321.655172413793","2.41379310344828","1.79456038118029","0.512809712092241","3.08791296026656","2.10776331388803","0.898058020208079","1.55476021577801","1.29269857972725","0.792497978739157","1.68165843386728","1.59283578336117","1.18087066841218","1.35648174739794","1.06281578237571","2.26422076007985","2.16687666397009","3.22601384973709","1.1083282156946","1.99192233378284","1.26562556624893","1.85518997131311","3.35583991947843","1.66937556716314","4.74109577497441","2.40594284550979","2.98138871849686","1.63942306896805","2.80376388414562","0.306879804848435","2.53272398756006","0.67156644778647","2.60419348324827","0.859358225191405","0.998355765443561","1.2579186225306","1.6017650735297","1.33612199125165","0.375681575749701","2.71341526827913","2.01918896723313","0.84769057431113"
