,Lineage_level,CD68,CD163,CD14,CD11c,CD206,CD33,CD40,SMA,CD27,CD45RA,CD20,CD3,CD7,GrzB,TCF7,CD45RO,FOXP3,ICOS,CD8a,CD4,Ecad,CD303,HistoneH3,DNA1,DNA2,CD38,HLADR,MPO,CD16,CD15,Ido1,LAG3,PD1,PDGFRb,PDL1,Ki67,cleavedPARP,B2M,CarbonicAnhydrase,VISTA
B,1_0_1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,NA,1.0,1.0,0.0,0.0,0.0,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,NA,1.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neutrophil,1_0_2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
DC,1_0_3,0.0,0.0,0.0,1.0,NA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,0.0,0.0,0.0,1.0,1.0,1.0,NA,1.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HLADR,1_0_4,1.0,0.0,0.0,NA,0.0,0.0,0.0,0.0,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
NK,1_0_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,NA,0.0,0.0,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
plasma,1_0_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0.0,0.0,NA,NA,NA,NA
pDC,1_0_7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,NA,NA,0.0,0.0,NA,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NA,1.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tumor,1_0_8,0.0,0.0,0.0,0.0,0.0,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,NA,NA,NA,NA,NA,NA,NA
Treg,1_0_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,1.0,1.0,0.0,NA,NA,1.0,NA,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,NA,0.0,0.0,0.0,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA
CD8,1_0_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,1.0,1.0,NA,NA,NA,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,NA,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CD4,1_0_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,1.0,1.0,0.0,NA,NA,0.0,NA,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,NA,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mural,1_0_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,NA,0.0,0.0,0.0,NA,0.0,0.0,NA,NA,NA,NA,NA,NA,NA
MacCD163,1_0_13,1.0,1.0,1.0,1.0,1.0,NA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,NA,0.0,NA,0.0,0.0,NA,NA,NA,NA,NA,NA,NA
