celltype,Lineage_level,CD68,CD163,CD14,CD11c,CD206,CD33,CD40,SMA,CD27,CD45RA,CD20,CD3,CD7,GrzB,TCF7,CD45RO,FOXP3,ICOS,CD8a,CD4,Ecad,CD303,HistoneH3,DNA1,DNA2,CD38,HLADR,MPO,CD16,CD15,Ido1,LAG3,PD1,PDGFRb,PDL1,Ki67,cleavedPARP,B2M,CarbonicAnhydrase,VISTA
B,1_0_1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,,,,,,,,,,
Neutrophil,1_0_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,1.0,1.0,,0.0,,,,,,,,
DC,1_0_3,0.0,0.0,0.0,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,,,,,,,,,,
HLADR,1_0_4,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,,0.0,,,,,,,,
NK,1_0_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,1.0,0.0,,,,,,,,,,
plasma,1_0_6,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,
pDC,1_0_7,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,1.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
Tumor,1_0_8,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,
Treg,1_0_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,1.0,0.0,,,1.0,,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,,,0.0,,,,,,
CD8,1_0_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,1.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,,,,,,,,,
CD4,1_0_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,1.0,0.0,,,0.0,,0.0,1.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,,,,,,,,,
Mural,1_0_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,,,,,,
MacCD163,1_0_13,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,,,,
